hue, dataset_name, level, repeat
test_performance_singlemodelTrue, 3, 2, 2->5, 0.0004501043308139385
test_performance_singlemodelTrue, 3, 2, 5->10, 0.0009138592378969967
test_performance_singlemodelTrue, 3, 2, 10->20, 0.0017086365452712027
test_performance_singlemodelTrue, 3, 3, 1->2, 0.0019073930185781185
test_performance_singlemodelTrue, 3, 3, 2->5, 0.0006874330822499441
test_performance_singlemodelTrue, 3, 3, 5->10, 0.0010624230918035993
test_performance_singlemodelTrue, 3, 3, 10->20, 0.001058369452620167
test_performance_singlemodelTrue, 53, 0, 1->2, 0.014679428475140033
test_performance_singlemodelTrue, 53, 0, 2->5, 0.017643831453543646
test_performance_singlemodelTrue, 53, 0, 5->10, 0.005345843553581253
test_performance_singlemodelTrue, 53, 0, 10->20, 0.0025828314666948016
test_performance_singlemodelTrue, 53, 1, 1->2, 0.04443205017637464
test_performance_singlemodelTrue, 53, 1, 2->5, 0.011288142247875999
test_performance_singlemodelTrue, 53, 1, 5->10, 0.017425783337980283
test_performance_singlemodelTrue, 53, 1, 10->20, 0.015853338572554
test_performance_singlemodelTrue, 53, 2, 1->2, 0.0603852470050642
test_performance_singlemodelTrue, 53, 2, 2->5, 0.03844340617492481
test_performance_singlemodelTrue, 53, 2, 5->10, 0.011386972868257739
test_performance_singlemodelTrue, 53, 2, 10->20, 0.018218353705215296
test_performance_singlemodelTrue, 53, 3, 1->2, 0.05743622009797544
test_performance_singlemodelTrue, 53, 3, 2->5, 0.008301497609997432
test_performance_singlemodelTrue, 53, 3, 5->10, 0.016424826523050662
test_performance_singlemodelTrue, 53, 3, 10->20, 0.012979586643616536
test_performance_singlemodelTrue, 7592, 0, 1->2, -6.331550397620234e-05
test_performance_singlemodelTrue, 7592, 0, 2->5, 0.015154519858760485
test_performance_singlemodelTrue, 7592, 0, 5->10, 0.0011511116012127287
test_performance_singlemodelTrue, 7592, 0, 10->20, 0.005634729707135411
test_performance_singlemodelTrue, 7592, 1, 1->2, 0.0027594229092872125
test_performance_singlemodelTrue, 7592, 1, 2->5, 0.011528449969190446
test_performance_singlemodelTrue, 7592, 1, 5->10, 0.002635614930332486
test_performance_singlemodelTrue, 7592, 1, 10->20, 0.014409529561984491
test_performance_singlemodelTrue, 7592, 2, 1->2, 0.004466398571492225
test_performance_singlemodelTrue, 7592, 2, 2->5, 0.014134688816193064
test_performance_singlemodelTrue, 7592, 2, 5->10, 0.005294285877368909
test_performance_singlemodelTrue, 7592, 2, 10->20, 0.006585550646734051
test_performance_singlemodelTrue, 7592, 3, 1->2, 0.0038690141792030452
test_performance_singlemodelTrue, 7592, 3, 2->5, 0.015035409600629879
test_performance_singlemodelTrue, 7592, 3, 5->10, 0.00376138165134543
test_performance_singlemodelTrue, 7592, 3, 10->20, 0.00676960346793265
test_performance_singlemodelTrue, 10101, 0, 1->2, 0.0030435392541559025
test_performance_singlemodelTrue, 10101, 0, 2->5, 0.11285101022791733
test_performance_singlemodelTrue, 10101, 0, 5->10, 0.008112436373728271
test_performance_singlemodelTrue, 10101, 0, 10->20, 0.01612305572368089
test_performance_singlemodelTrue, 10101, 1, 1->2, 0.01811447366488994
test_performance_singlemodelTrue, 10101, 1, 2->5, 0.03245870800710715
test_performance_singlemodelTrue, 10101, 1, 5->10, 0.022109203309448322
test_performance_singlemodelTrue, 10101, 1, 10->20, 0.01554160908861213
test_performance_singlemodelTrue, 10101, 2, 1->2, 0.014821013104099667
test_performance_singlemodelTrue, 10101, 2, 2->5, 0.005426679445097338
test_performance_singlemodelTrue, 10101, 2, 5->10, 0.03060258532750859
test_performance_singlemodelTrue, 10101, 2, 10->20, 0.036850952824340144
test_performance_singlemodelTrue, 10101, 3, 1->2, 0.010290442418101953
test_performance_singlemodelTrue, 10101, 3, 2->5, 0.045160106679565715
test_performance_singlemodelTrue, 10101, 3, 5->10, 0.00043795180247641063
test_performance_singlemodelTrue, 10101, 3, 10->20, 0.01687605056324515
test_performance_singlemodelTrue, 146818, 0, 1->2, 0.002120878611605481
test_performance_singlemodelTrue, 146818, 0, 2->5, 0.010825476686950553
test_performance_singlemodelTrue, 146818, 0, 5->10, 0.007301296469670815
test_performance_singlemodelTrue, 146818, 0, 10->20, 0.0030260512383242233
test_performance_singlemodelTrue, 146818, 1, 1->2, 0.005829942842721425
test_performance_singlemodelTrue, 146818, 1, 2->5, 0.023285598549405706
test_performance_singlemodelTrue, 146818, 1, 5->10, 0.009345100444890675
test_performance_singlemodelTrue, 146818, 1, 10->20, 0.009172385332884003
test_performance_singlemodelTrue, 146818, 2, 1->2, 0.007333978683338738
test_performance_singlemodelTrue, 146818, 2, 2->5, 0.01656989544112264
test_performance_singlemodelTrue, 146818, 2, 5->10, 0.01176629332302237
test_performance_singlemodelTrue, 146818, 2, 10->20, 0.008355166786634172
test_performance_singlemodelTrue, 146818, 3, 1->2, 0.007589187532049957
test_performance_singlemodelTrue, 146818, 3, 2->5, 0.016235877213626737
test_performance_singlemodelTrue, 146818, 3, 5->10, 0.014168632292397398
test_performance_singlemodelTrue, 146818, 3, 10->20, 0.006524714461698888
test_performance_singlemodelTrue, 146822, 0, 1->2, 0.00898055629389205
test_performance_singlemodelTrue, 146822, 0, 2->5, 0.002798711871604409
test_performance_singlemodelTrue, 146822, 0, 5->10, 0.00040325658093720573
test_performance_singlemodelTrue, 146822, 0, 10->20, -0.001476365887627673
test_performance_singlemodelTrue, 146822, 1, 1->2, 0.036488100925684996
test_performance_singlemodelTrue, 146822, 1, 2->5, 0.004057078815111526
test_performance_singlemodelTrue, 146822, 1, 5->10, 0.002417177931754444
test_performance_singlemodelTrue, 146822, 1, 10->20, 0.0018530294887756371
test_performance_singlemodelTrue, 146822, 2, 1->2, 0.011132604250115197
test_performance_singlemodelTrue, 146822, 2, 2->5, 0.07719539127166153
test_performance_singlemodelTrue, 146822, 2, 5->10, 0.0017277559292998568
test_performance_singlemodelTrue, 146822, 2, 10->20, 0.0029253669252079506
test_performance_singlemodelTrue, 146822, 3, 1->2, 0.009313635878830273
test_performance_singlemodelTrue, 146822, 3, 2->5, 0.30266197476429024
test_performance_singlemodelTrue, 146822, 3, 5->10, 0.318661395209657
test_performance_singlemodelTrue, 146822, 3, 10->20, 0.03407230798227223
