,Timestamp,single_best_optimization_score,single_best_test_score,single_best_train_score,task_x,fold_x,framework_x,ensemble_optimization_score,ensemble_test_score,task_y,fold_y,framework_y
49,2021-01-01 20:40:09.000,0.6638335299352249,0.698051948051948,0.7463300058719906,vehicle,0.0,autosklearn,0.8588274249,0.7883658009,vehicle,0.0,autosklearn
50,2021-01-01 20:40:13.192,0.6638335299352249,0.698051948051948,0.7463300058719906,vehicle,0.0,autosklearn,0.8585832247,0.7883658009,vehicle,0.0,autosklearn
51,2021-01-01 20:40:16.000,0.7564081869166615,0.7768939393939394,0.9961237980769231,vehicle,0.0,autosklearn,0.8585832247,0.7883658009,vehicle,0.0,autosklearn
52,2021-01-01 20:40:21.000,0.3279805881500797,0.3418831168831169,1.0,vehicle,0.0,autosklearn,0.8585832247,0.7883658009,vehicle,0.0,autosklearn
53,2021-01-01 20:40:25.559,0.3279805881500797,0.3418831168831169,1.0,vehicle,0.0,autosklearn,0.8585832247,0.7883658009,vehicle,0.0,autosklearn
54,2021-01-01 20:40:28.000,0.41336375488917865,0.3306818181818182,0.3943433157173615,vehicle,0.0,autosklearn,0.8585832247,0.7883658009,vehicle,0.0,autosklearn
55,2021-01-01 20:40:30.000,0.7734794395811345,0.7275974025974026,0.9110842997651204,vehicle,0.0,autosklearn,0.8585832247,0.7883658009,vehicle,0.0,autosklearn
56,2021-01-01 20:40:34.445,0.7734794395811345,0.7275974025974026,0.9110842997651204,vehicle,0.0,autosklearn,0.862917779,0.7997294372,vehicle,0.0,autosklearn
57,2021-01-01 20:40:36.000,0.6525392686409636,0.639556277056277,0.671886927480916,vehicle,0.0,autosklearn,0.862917779,0.7997294372,vehicle,0.0,autosklearn
58,2021-01-01 20:40:42.900,0.6525392686409636,0.639556277056277,0.671886927480916,vehicle,0.0,autosklearn,0.862917779,0.7997294372,vehicle,0.0,autosklearn
59,2021-01-01 20:40:45.000,0.6747366569400468,0.6151515151515151,1.0,vehicle,0.0,autosklearn,0.862917779,0.7997294372,vehicle,0.0,autosklearn
60,2021-01-01 20:40:47.000,0.7572152894186792,0.8138528138528138,0.8330568604423566,vehicle,0.0,autosklearn,0.862917779,0.7997294372,vehicle,0.0,autosklearn
61,2021-01-01 20:40:51.491,0.7572152894186792,0.8138528138528138,0.8330568604423566,vehicle,0.0,autosklearn,0.862917779,0.7997294372,vehicle,0.0,autosklearn
62,2021-01-01 20:40:53.000,0.4614712029966268,0.41401515151515156,0.44216861482188297,vehicle,0.0,autosklearn,0.862917779,0.7997294372,vehicle,0.0,autosklearn
63,2021-01-01 20:40:58.000,0.44193104447341736,0.518560606060606,0.9922175480769231,vehicle,0.0,autosklearn,0.862917779,0.7997294372,vehicle,0.0,autosklearn
64,2021-01-01 20:41:02.051,0.44193104447341736,0.518560606060606,0.9922175480769231,vehicle,0.0,autosklearn,0.8667887668,0.8110930736,vehicle,0.0,autosklearn
65,2021-01-01 20:41:16.000,0.7679963163014011,0.8014069264069263,0.9007404977735369,vehicle,0.0,autosklearn,0.8667887668,0.8110930736,vehicle,0.0,autosklearn
66,2021-01-01 20:41:18.000,0.25,0.25,0.25,vehicle,0.0,autosklearn,0.8667887668,0.8110930736,vehicle,0.0,autosklearn
67,2021-01-01 20:41:22.969,0.25,0.25,0.25,vehicle,0.0,autosklearn,0.8667887668,0.8110930736,vehicle,0.0,autosklearn
68,2021-01-01 20:41:27.000,0.672853417768672,0.6594155844155845,1.0,vehicle,0.0,autosklearn,0.8667887668,0.8110930736,vehicle,0.0,autosklearn
