,single_model,dataset_name,model,level,repeat,iteration,seed,performance,skip
201,False,146822,LGBMClassifier,2,1,11,31,0.9703781512605042,True
202,False,146822,LGBMClassifier,2,1,12,31,0.9702069183837919,True
203,False,146822,LGBMClassifier,2,1,13,31,0.9688025210084035,True
204,False,146822,LGBMClassifier,2,1,14,31,0.9650598595602625,True
205,False,146822,MLPClassifier,2,1,10,31,0.9842436974789915,True
206,False,146822,MLPClassifier,2,1,11,31,0.9758403361344538,True
207,False,146822,MLPClassifier,2,1,12,31,0.9706932773109244,True
208,False,146822,MLPClassifier,2,1,13,31,0.9689075630252102,True
209,False,146822,MLPClassifier,2,1,14,31,0.9689075630252102,True
210,False,146822,RandomForestClassifier,3,1,15,31,0.9827731092436975,True
211,False,146822,RandomForestClassifier,3,1,16,31,0.98109243697479,True
212,False,146822,RandomForestClassifier,3,1,17,31,0.98109243697479,True
213,False,146822,RandomForestClassifier,3,1,18,31,0.98109243697479,True
214,False,146822,RandomForestClassifier,3,1,19,31,0.98109243697479,True
215,False,146822,DecisionTreeClassifier,3,1,15,31,0.969786750316565,True
216,False,146822,DecisionTreeClassifier,3,1,16,31,0.9580220444342119,True
217,False,146822,DecisionTreeClassifier,3,1,17,31,0.952769943593876,True
218,False,146822,DecisionTreeClassifier,3,1,18,31,0.9491985150224475,True
219,False,146822,DecisionTreeClassifier,3,1,19,31,0.9307111200644641,True
220,False,146822,XGBClassifier,3,1,15,31,0.9774159663865546,True
221,False,146822,XGBClassifier,3,1,16,31,0.9671218487394958,True
222,False,146822,XGBClassifier,3,1,17,31,0.9651649015770692,True
223,False,146822,XGBClassifier,3,1,18,31,0.9653361344537815,True
224,False,146822,XGBClassifier,3,1,19,31,0.9653361344537815,True
225,False,146822,GradientBoostingClassifier,3,1,15,31,0.98109243697479,True
226,False,146822,GradientBoostingClassifier,3,1,16,31,0.9776260504201681,True
227,False,146822,GradientBoostingClassifier,3,1,17,31,0.9776260504201681,True
228,False,146822,GradientBoostingClassifier,3,1,18,31,0.9740546218487395,True
229,False,146822,GradientBoostingClassifier,3,1,19,31,0.9740546218487395,True
230,False,146822,LGBMClassifier,3,1,15,31,0.9790966386554621,True
231,False,146822,LGBMClassifier,3,1,16,31,0.9689075630252102,True
232,False,146822,LGBMClassifier,3,1,17,31,0.9669506158627836,True
233,False,146822,LGBMClassifier,3,1,18,31,0.9653361344537815,True
234,False,146822,LGBMClassifier,3,1,19,31,0.9671218487394958,True
235,False,146822,MLPClassifier,3,1,15,31,0.9826680672268908,True
236,False,146822,MLPClassifier,3,1,16,31,0.9828781512605043,True
237,False,146822,MLPClassifier,3,1,17,31,0.9794117647058824,True
238,False,146822,MLPClassifier,3,1,18,31,0.9777310924369749,True
239,False,146822,MLPClassifier,3,1,19,31,0.9706932773109244,True
240,True,146822,RandomForestClassifier,0,1,0,31,0.9774159663865546,False
241,True,146822,RandomForestClassifier,0,1,1,31,0.9671218487394958,False
242,True,146822,RandomForestClassifier,0,1,2,31,0.9600178427535397,False
243,True,146822,RandomForestClassifier,0,1,3,31,0.9583371704846322,False
244,True,146822,RandomForestClassifier,0,1,4,31,0.9512993553585817,False
245,True,146822,DecisionTreeClassifier,0,1,0,31,0.9668455738459768,False
246,True,146822,DecisionTreeClassifier,0,1,1,31,0.9494085990560608,False
247,True,146822,DecisionTreeClassifier,0,1,2,31,0.9425808679636237,False
248,True,146822,DecisionTreeClassifier,0,1,3,31,0.9358465075527928,False
249,True,146822,DecisionTreeClassifier,0,1,4,31,0.9202886177301971,False
250,True,146822,XGBClassifier,0,1,0,31,0.9842436974789915,False
251,True,146822,XGBClassifier,0,1,1,31,0.9705882352941178,False
252,True,146822,XGBClassifier,0,1,2,31,0.9686312881316911,False
253,True,146822,XGBClassifier,0,1,3,31,0.9687363301484978,False
254,True,146822,XGBClassifier,0,1,4,31,0.9566448268805238,False
255,True,146822,GradientBoostingClassifier,0,1,0,31,0.9772330621746416,False
256,True,146822,GradientBoostingClassifier,0,1,1,31,0.9632624739393475,False
257,True,146822,GradientBoostingClassifier,0,1,2,31,0.9599011294015324,False
258,True,146822,GradientBoostingClassifier,0,1,3,31,0.952863314275482,False
259,True,146822,GradientBoostingClassifier,0,1,4,31,0.9476112134351459,False
260,True,146822,LGBMClassifier,0,1,0,31,0.9789915966386555,False
261,True,146822,LGBMClassifier,0,1,1,31,0.961488430988834,False
262,True,146822,LGBMClassifier,0,1,2,31,0.9598077587199264,False
263,True,146822,LGBMClassifier,0,1,3,31,0.9598077587199264,False
264,True,146822,LGBMClassifier,0,1,4,31,0.9511826420065744,False
265,True,146822,MLPClassifier,0,1,0,31,0.9722689075630253,False
266,True,146822,MLPClassifier,0,1,1,31,0.9546218487394957,False
267,True,146822,MLPClassifier,0,1,2,31,0.9477941176470587,False
268,True,146822,MLPClassifier,0,1,3,31,0.9461134453781511,False
269,True,146822,MLPClassifier,0,1,4,31,0.944327731092437,False
270,True,146822,RandomForestClassifier,1,1,5,31,0.9756302521008404,False
271,True,146822,RandomForestClassifier,1,1,6,31,0.9686974789915966,False
272,True,146822,RandomForestClassifier,1,1,7,31,0.9635504201680671,False
273,True,146822,RandomForestClassifier,1,1,8,31,0.9618697478991596,False
274,True,146822,RandomForestClassifier,1,1,9,31,0.9618697478991596,False
275,True,146822,DecisionTreeClassifier,1,1,5,31,0.9698917923333717,False
276,True,146822,DecisionTreeClassifier,1,1,6,31,0.9445649949477507,False
277,True,146822,DecisionTreeClassifier,1,1,7,31,0.9293339025107761,False
278,True,146822,DecisionTreeClassifier,1,1,8,31,0.9241868436872466,False
279,True,146822,DecisionTreeClassifier,1,1,9,31,0.920615415115818,False
280,True,146822,XGBClassifier,1,1,5,31,0.9737394957983193,False
281,True,146822,XGBClassifier,1,1,6,31,0.9654411764705882,False
282,True,146822,XGBClassifier,1,1,7,31,0.9654411764705882,False
283,True,146822,XGBClassifier,1,1,8,31,0.9638655462184874,False
284,True,146822,XGBClassifier,1,1,9,31,0.9585084033613445,False
285,True,146822,GradientBoostingClassifier,1,1,5,31,0.9650481882250617,False
286,True,146822,GradientBoostingClassifier,1,1,6,31,0.9583254991494314,False
287,True,146822,GradientBoostingClassifier,1,1,7,31,0.9465607932670784,False
288,True,146822,GradientBoostingClassifier,1,1,8,31,0.9447750789813643,False
289,True,146822,GradientBoostingClassifier,1,1,9,31,0.9430944067124567,False
290,True,146822,LGBMClassifier,1,1,5,31,0.9670168067226891,False
291,True,146822,LGBMClassifier,1,1,6,31,0.9600840336134454,False
292,True,146822,LGBMClassifier,1,1,7,31,0.9581270864510189,False
293,True,146822,LGBMClassifier,1,1,8,31,0.9581270864510189,False
294,True,146822,LGBMClassifier,1,1,9,31,0.9581270864510189,False
295,True,146822,MLPClassifier,1,1,5,31,0.971953781512605,False
296,True,146822,MLPClassifier,1,1,6,31,0.9631302521008404,False
297,True,146822,MLPClassifier,1,1,7,31,0.9614495798319328,False
298,True,146822,MLPClassifier,1,1,8,31,0.9379201680672269,False
299,True,146822,MLPClassifier,1,1,9,31,0.9343487394957982,False
300,True,146822,RandomForestClassifier,2,1,10,31,0.9788865546218488,False
301,True,146822,RandomForestClassifier,2,1,11,31,0.9669117647058824,False
302,True,146822,RandomForestClassifier,2,1,12,31,0.9649548175434557,False
303,True,146822,RandomForestClassifier,2,1,13,31,0.959912800736733,False
304,True,146822,RandomForestClassifier,2,1,14,31,0.959912800736733,False
305,True,146822,DecisionTreeClassifier,2,1,10,31,0.9564464141821112,False
306,True,146822,DecisionTreeClassifier,2,1,11,31,0.9361616336032129,False
307,True,146822,DecisionTreeClassifier,2,1,12,31,0.9344809613343054,False
308,True,146822,DecisionTreeClassifier,2,1,13,31,0.9311196167964902,False
309,True,146822,DecisionTreeClassifier,2,1,14,31,0.9275481882250617,False
310,True,146822,XGBClassifier,2,1,10,31,0.9668455738459768,False
311,True,146822,XGBClassifier,2,1,11,31,0.9618035570392539,False
312,True,146822,XGBClassifier,2,1,12,31,0.9586289538646507,False
313,True,146822,XGBClassifier,2,1,13,31,0.9568432395789366,False
314,True,146822,XGBClassifier,2,1,14,31,0.949805424452886,False
315,True,146822,GradientBoostingClassifier,2,1,10,31,0.9720860033511122,False
316,True,146822,GradientBoostingClassifier,2,1,11,31,0.9673202614379086,False
317,True,146822,GradientBoostingClassifier,2,1,12,31,0.9636826420065743,False
318,True,146822,GradientBoostingClassifier,2,1,13,31,0.9567498688973306,False
319,True,146822,GradientBoostingClassifier,2,1,14,31,0.9483465075527928,False
320,True,146822,LGBMClassifier,2,1,10,31,0.9737394957983193,False
321,True,146822,LGBMClassifier,2,1,11,31,0.9649548175434557,False
322,True,146822,LGBMClassifier,2,1,12,31,0.9649548175434557,False
323,True,146822,LGBMClassifier,2,1,13,31,0.9598077587199264,False
324,True,146822,LGBMClassifier,2,1,14,31,0.952769943593876,False
325,True,146822,MLPClassifier,2,1,10,31,0.9756302521008404,False
326,True,146822,MLPClassifier,2,1,11,31,0.9649159663865546,False
327,True,146822,MLPClassifier,2,1,12,31,0.966701680672269,False
328,True,146822,MLPClassifier,2,1,13,31,0.9633403361344539,False
329,True,146822,MLPClassifier,2,1,14,31,0.9508403361344538,False
330,True,146822,RandomForestClassifier,3,1,15,31,0.9718875906526995,False
331,True,146822,RandomForestClassifier,3,1,16,31,0.9634842293081617,False
332,True,146822,RandomForestClassifier,3,1,17,31,0.9634842293081617,False
333,True,146822,RandomForestClassifier,3,1,18,31,0.9634842293081617,False
334,True,146822,RandomForestClassifier,3,1,19,31,0.9634842293081617,False
335,True,146822,DecisionTreeClassifier,3,1,15,31,0.9629978703810291,False
336,True,146822,DecisionTreeClassifier,3,1,16,31,0.9477667779440544,False
337,True,146822,DecisionTreeClassifier,3,1,17,31,0.9432032858805622,False
338,True,146822,DecisionTreeClassifier,3,1,18,31,0.9256612690738396,False
339,True,146822,DecisionTreeClassifier,3,1,19,31,0.9192148548917284,False
340,True,146822,XGBClassifier,3,1,15,31,0.9708138278142309,False
341,True,146822,XGBClassifier,3,1,16,31,0.9587339958814575,False
342,True,146822,XGBClassifier,3,1,17,31,0.9501205505033063,False
343,True,146822,XGBClassifier,3,1,18,31,0.948334836217592,False
344,True,146822,XGBClassifier,3,1,19,31,0.9466541639486844,False
345,True,146822,GradientBoostingClassifier,3,1,15,31,0.9682111200644642,False
346,True,146822,GradientBoostingClassifier,3,1,16,31,0.9563297008301037,False
347,True,146822,GradientBoostingClassifier,3,1,17,31,0.952863314275482,False
348,True,146822,GradientBoostingClassifier,3,1,18,31,0.9511826420065744,False
349,True,146822,GradientBoostingClassifier,3,1,19,31,0.9495019697376668,False
350,True,146822,LGBMClassifier,3,1,15,31,0.9701018763669852,False
351,True,146822,LGBMClassifier,3,1,16,31,0.9582321284678254,False
352,True,146822,LGBMClassifier,3,1,17,31,0.9549641546116162,False
353,True,146822,LGBMClassifier,3,1,18,31,0.9531901116611027,False
354,True,146822,LGBMClassifier,3,1,19,31,0.9499221378048935,False
355,True,146822,MLPClassifier,3,1,15,31,0.970483193277311,False
356,True,146822,MLPClassifier,3,1,16,31,0.9597689075630252,False
357,True,146822,MLPClassifier,3,1,17,31,0.9496848739495798,False
358,True,146822,MLPClassifier,3,1,18,31,0.9496848739495798,False
359,True,146822,MLPClassifier,3,1,19,31,0.9478991596638655,False
360,False,146822,RandomForestClassifier,0,1,0,31,0.9774159663865546,False
361,False,146822,RandomForestClassifier,0,1,1,31,0.9671218487394958,False
362,False,146822,RandomForestClassifier,0,1,2,31,0.9600178427535397,False
363,False,146822,RandomForestClassifier,0,1,3,31,0.9583371704846322,False
364,False,146822,RandomForestClassifier,0,1,4,31,0.9512993553585817,False
365,False,146822,DecisionTreeClassifier,0,1,0,31,0.9668455738459768,False
366,False,146822,DecisionTreeClassifier,0,1,1,31,0.9494085990560608,False
367,False,146822,DecisionTreeClassifier,0,1,2,31,0.9425808679636237,False
368,False,146822,DecisionTreeClassifier,0,1,3,31,0.9358465075527928,False
369,False,146822,DecisionTreeClassifier,0,1,4,31,0.9202886177301971,False
