,hue,performance,model,dataset_name,level,repeat,seed,val_score,skip
102,test_performance_singlemodelTrue,0.9779794760558407,RandomForestClassifier,146822,1,2,85,0.956693232367062,True
102,test_performance_singlemodelTrue,0.9936493009842644,RandomForestClassifier,3,1,2,25,0.9929534698663987,True
102,test_performance_singlemodelTrue,0.9951042582590126,RandomForestClassifier,3,1,2,97,0.9928767218831736,True
102,test_performance_singlemodelTrue,0.9951143033090777,RandomForestClassifier,3,1,2,98,0.9896042545357167,True
102,test_performance_singlemodelTrue,0.9961751036301971,RandomForestClassifier,3,1,2,36,0.991568962510898,True
102,test_performance_singlemodelTrue,0.9963325183374083,RandomForestClassifier,3,1,2,21,0.9921168907316664,True
103,test_performance_singlemodelTrue,0.6492062193126023,DecisionTreeClassifier,53,1,2,23,0.6573504478860359,True
103,test_performance_singlemodelTrue,0.6826407423691658,DecisionTreeClassifier,53,1,2,75,0.6933012202214741,True
103,test_performance_singlemodelTrue,0.6947015274329461,DecisionTreeClassifier,53,1,2,57,0.6512609876686324,True
103,test_performance_singlemodelTrue,0.7185475432097006,DecisionTreeClassifier,53,1,2,55,0.6380340189873417,True
103,test_performance_singlemodelTrue,0.7513074457926144,DecisionTreeClassifier,7592,1,2,49,0.7170977205053157,True
103,test_performance_singlemodelTrue,0.7544667867121267,DecisionTreeClassifier,7592,1,2,70,0.720317418324067,True
103,test_performance_singlemodelTrue,0.7545844669795081,DecisionTreeClassifier,7592,1,2,32,0.7212994209588721,True
103,test_performance_singlemodelTrue,0.7601183581730306,DecisionTreeClassifier,7592,1,2,52,0.7192260046429203,True
103,test_performance_singlemodelTrue,0.7621380097088979,DecisionTreeClassifier,7592,1,2,95,0.7227610954591625,True
103,test_performance_singlemodelTrue,0.774525794299413,DecisionTreeClassifier,53,1,2,51,0.666273893935521,True
103,test_performance_singlemodelTrue,0.8453057359307359,DecisionTreeClassifier,146818,1,2,25,0.8155733979700046,True
103,test_performance_singlemodelTrue,0.849859943977591,DecisionTreeClassifier,146818,1,2,71,0.800517744799976,True
103,test_performance_singlemodelTrue,0.8587755102040816,DecisionTreeClassifier,146818,1,2,15,0.8031231094978826,True
103,test_performance_singlemodelTrue,0.8857534246575343,DecisionTreeClassifier,146818,1,2,17,0.8030110839298119,True
103,test_performance_singlemodelTrue,0.8921130952380952,DecisionTreeClassifier,146818,1,2,61,0.7768898651719436,True
103,test_performance_singlemodelTrue,0.9202213949963659,DecisionTreeClassifier,146822,1,2,85,0.9305714315766577,True
103,test_performance_singlemodelTrue,0.9235686522671084,DecisionTreeClassifier,146822,1,2,43,0.9124414793790125,True
103,test_performance_singlemodelTrue,0.9270091965693196,DecisionTreeClassifier,146822,1,2,54,0.9457411168130081,True
103,test_performance_singlemodelTrue,0.9278944911297853,DecisionTreeClassifier,146822,1,2,31,0.9288484116270188,True
103,test_performance_singlemodelTrue,0.9356906085820847,DecisionTreeClassifier,146822,1,2,91,0.9362841923322405,True
103,test_performance_singlemodelTrue,0.9886477829418414,DecisionTreeClassifier,3,1,2,36,0.989712641673932,True
103,test_performance_singlemodelTrue,0.9890409581620982,DecisionTreeClassifier,3,1,2,98,0.9912413386222133,True
103,test_performance_singlemodelTrue,0.9914018339404598,DecisionTreeClassifier,3,1,2,97,0.9891330427201395,True
103,test_performance_singlemodelTrue,0.993708858378785,DecisionTreeClassifier,3,1,2,25,0.993350295263224,True
103,test_performance_singlemodelTrue,0.9961538461538462,DecisionTreeClassifier,3,1,2,21,0.9922027474138293,True
104,test_performance_singlemodelTrue,0.7342880132893246,XGBClassifier,53,1,2,75,0.781452063089298,True
104,test_performance_singlemodelTrue,0.7536379196833074,XGBClassifier,53,1,2,55,0.7501384493670886,True
104,test_performance_singlemodelTrue,0.770278232405892,XGBClassifier,53,1,2,23,0.7381784425982588,True
104,test_performance_singlemodelTrue,0.7794009480222295,XGBClassifier,53,1,2,51,0.7478632342578679,True
104,test_performance_singlemodelTrue,0.7890460111761897,XGBClassifier,7592,1,2,95,0.7850075312860485,True
104,test_performance_singlemodelTrue,0.7907554385716924,XGBClassifier,7592,1,2,70,0.7867349940817174,True
104,test_performance_singlemodelTrue,0.7947334342063482,XGBClassifier,7592,1,2,52,0.7956518410315477,True
104,test_performance_singlemodelTrue,0.7988534989067192,XGBClassifier,7592,1,2,49,0.7855263463082852,True
104,test_performance_singlemodelTrue,0.8003671183007013,XGBClassifier,7592,1,2,32,0.7922224641623613,True
104,test_performance_singlemodelTrue,0.8178070077614019,XGBClassifier,53,1,2,57,0.7445504544644338,True
104,test_performance_singlemodelTrue,0.8271103896103896,XGBClassifier,146818,1,2,25,0.8594985608241175,True
104,test_performance_singlemodelTrue,0.8772108843537415,XGBClassifier,146818,1,2,15,0.8335450695704779,True
104,test_performance_singlemodelTrue,0.8802054794520549,XGBClassifier,146818,1,2,17,0.8717571199903356,True
104,test_performance_singlemodelTrue,0.8983193277310924,XGBClassifier,146818,1,2,71,0.8572965895066373,True
104,test_performance_singlemodelTrue,0.8986066017316017,XGBClassifier,146818,1,2,61,0.8451295258294198,True
104,test_performance_singlemodelTrue,0.9601126869957753,XGBClassifier,146822,1,2,54,0.9623000608566127,True
104,test_performance_singlemodelTrue,0.9634088417975887,XGBClassifier,146822,1,2,91,0.9556560209691618,True
104,test_performance_singlemodelTrue,0.9652310924369748,XGBClassifier,146822,1,2,31,0.9554766915104007,True
104,test_performance_singlemodelTrue,0.9699665912876778,XGBClassifier,146822,1,2,43,0.9551225750651308,True
104,test_performance_singlemodelTrue,0.9708761994984411,XGBClassifier,146822,1,2,85,0.9539138145058583,True
104,test_performance_singlemodelTrue,0.9899818193216726,XGBClassifier,3,1,2,21,0.9904437324622022,True
104,test_performance_singlemodelTrue,0.9927390063969637,XGBClassifier,3,1,2,98,0.9883678114748611,True
104,test_performance_singlemodelTrue,0.9947368421052631,XGBClassifier,3,1,2,97,0.988768962510898,True
104,test_performance_singlemodelTrue,0.9949313522663157,XGBClassifier,3,1,2,25,0.9916771369937597,True
104,test_performance_singlemodelTrue,0.9962975756814471,XGBClassifier,3,1,2,36,0.9904767218831735,True
105,test_performance_singlemodelTrue,0.7042115759347216,GradientBoostingClassifier,53,1,2,75,0.7773142237543602,True
105,test_performance_singlemodelTrue,0.743747954173486,GradientBoostingClassifier,53,1,2,23,0.7453629593354955,True
105,test_performance_singlemodelTrue,0.7763937263374192,GradientBoostingClassifier,53,1,2,55,0.7485759493670886,True
105,test_performance_singlemodelTrue,0.7769070412174073,GradientBoostingClassifier,53,1,2,57,0.7342110302357208,True
105,test_performance_singlemodelTrue,0.7885852576505592,GradientBoostingClassifier,7592,1,2,70,0.783405372530342,True
105,test_performance_singlemodelTrue,0.7890037301921823,GradientBoostingClassifier,7592,1,2,52,0.7917230571967926,True
105,test_performance_singlemodelTrue,0.7891420960651003,GradientBoostingClassifier,7592,1,2,95,0.7862588190023727,True
105,test_performance_singlemodelTrue,0.7904448592999191,GradientBoostingClassifier,7592,1,2,49,0.7843403934855504,True
105,test_performance_singlemodelTrue,0.7946561118152035,GradientBoostingClassifier,7592,1,2,32,0.7883355956440143,True
105,test_performance_singlemodelTrue,0.8283955627705628,GradientBoostingClassifier,146818,1,2,25,0.8568777457960914,True
105,test_performance_singlemodelTrue,0.8326160899142265,GradientBoostingClassifier,53,1,2,51,0.7354796832952368,True
105,test_performance_singlemodelTrue,0.8478082191780822,GradientBoostingClassifier,146818,1,2,17,0.8450892452659238,True
105,test_performance_singlemodelTrue,0.8670068027210884,GradientBoostingClassifier,146818,1,2,15,0.830989110707804,True
105,test_performance_singlemodelTrue,0.8892156862745098,GradientBoostingClassifier,146818,1,2,71,0.8384305108214684,True
105,test_performance_singlemodelTrue,0.9025297619047619,GradientBoostingClassifier,146818,1,2,61,0.8307907892743523,True
105,test_performance_singlemodelTrue,0.9451387443740284,GradientBoostingClassifier,146822,1,2,54,0.9606362277433862,True
105,test_performance_singlemodelTrue,0.9493058092802338,GradientBoostingClassifier,146822,1,2,91,0.949734711722313,True
105,test_performance_singlemodelTrue,0.9547540705780028,GradientBoostingClassifier,146822,1,2,31,0.9520947673121498,True
105,test_performance_singlemodelTrue,0.9581372083717207,GradientBoostingClassifier,146822,1,2,43,0.9427761242191922,True
105,test_performance_singlemodelTrue,0.9675480225349563,GradientBoostingClassifier,146822,1,2,85,0.9404972864791936,True
105,test_performance_singlemodelTrue,0.9853429099272331,GradientBoostingClassifier,3,1,2,98,0.9810181930775925,True
105,test_performance_singlemodelTrue,0.9874772741520907,GradientBoostingClassifier,3,1,2,21,0.9864325501528668,True
105,test_performance_singlemodelTrue,0.9891376711468409,GradientBoostingClassifier,3,1,2,36,0.981640802092415,True
105,test_performance_singlemodelTrue,0.9928400954653938,GradientBoostingClassifier,3,1,2,97,0.9859330427201395,True
105,test_performance_singlemodelTrue,0.9937684157733058,GradientBoostingClassifier,3,1,2,25,0.9822925828202873,True
106,test_performance_singlemodelTrue,0.7532881115833061,LGBMClassifier,53,1,2,51,0.7291202542897055,True
106,test_performance_singlemodelTrue,0.7577906162464986,LGBMClassifier,53,1,2,75,0.7597817416046335,True
106,test_performance_singlemodelTrue,0.7765466448445172,LGBMClassifier,53,1,2,23,0.7176434259841183,True
106,test_performance_singlemodelTrue,0.7770769746953265,LGBMClassifier,53,1,2,55,0.7422468354430379,True
106,test_performance_singlemodelTrue,0.7784104547101934,LGBMClassifier,7592,1,2,95,0.7796090650701031,True
106,test_performance_singlemodelTrue,0.7845741230528578,LGBMClassifier,7592,1,2,70,0.7821394028050332,True
106,test_performance_singlemodelTrue,0.7868085555986218,LGBMClassifier,7592,1,2,52,0.7877315849222176,True
106,test_performance_singlemodelTrue,0.7870834231682824,LGBMClassifier,7592,1,2,32,0.7818005171521587,True
106,test_performance_singlemodelTrue,0.7886519577632606,LGBMClassifier,53,1,2,57,0.7214101703556066,True
106,test_performance_singlemodelTrue,0.7935524867824588,LGBMClassifier,7592,1,2,49,0.7791467062373987,True
106,test_performance_singlemodelTrue,0.8478760822510822,LGBMClassifier,146818,1,2,25,0.8525147704893198,True
106,test_performance_singlemodelTrue,0.8702054794520548,LGBMClassifier,146818,1,2,17,0.8455422669203587,True
106,test_performance_singlemodelTrue,0.8740816326530612,LGBMClassifier,146818,1,2,15,0.833393829401089,True
106,test_performance_singlemodelTrue,0.8804112554112553,LGBMClassifier,146818,1,2,61,0.8364187244356915,True
106,test_performance_singlemodelTrue,0.8896358543417366,LGBMClassifier,146818,1,2,71,0.8557538906113603,True
106,test_performance_singlemodelTrue,0.9469291640304054,LGBMClassifier,146822,1,2,91,0.9584781693410401,True
106,test_performance_singlemodelTrue,0.9513542845393638,LGBMClassifier,146822,1,2,54,0.9623097383316803,True
106,test_performance_singlemodelTrue,0.9634842293081617,LGBMClassifier,146822,1,2,31,0.9555826195959207,True
106,test_performance_singlemodelTrue,0.9698189353260684,LGBMClassifier,146822,1,2,43,0.9544805179281811,True
106,test_performance_singlemodelTrue,0.9727745033711932,LGBMClassifier,146822,1,2,85,0.9544310808124832,True
106,test_performance_singlemodelTrue,0.9858937319432233,LGBMClassifier,3,1,2,36,0.985025283347864,True
106,test_performance_singlemodelTrue,0.9870870493656576,LGBMClassifier,3,1,2,97,0.985825283347864,True
106,test_performance_singlemodelTrue,0.987312898239264,LGBMClassifier,3,1,2,98,0.9824826772444266,True
106,test_performance_singlemodelTrue,0.9912638706037239,LGBMClassifier,3,1,2,21,0.9788174812581145,True
106,test_performance_singlemodelTrue,0.993708858378785,LGBMClassifier,3,1,2,25,0.9863896218117854,True
107,test_performance_singlemodelTrue,0.6003592556635747,MLPClassifier,7592,1,2,70,0.5753685270695894,True
107,test_performance_singlemodelTrue,0.608846804014596,MLPClassifier,7592,1,2,32,0.5962946867696433,True
107,test_performance_singlemodelTrue,0.6108514359780375,MLPClassifier,7592,1,2,95,0.5837485370211168,True
107,test_performance_singlemodelTrue,0.630408731580222,MLPClassifier,7592,1,2,52,0.5982705970468798,True
107,test_performance_singlemodelTrue,0.6393432658756746,MLPClassifier,53,1,2,55,0.6380537974683544,True
107,test_performance_singlemodelTrue,0.6405498617757369,MLPClassifier,7592,1,2,49,0.6100070306329478,True
