,index,fold,model,overfit,task,test,tool,train,val,seed
84,84,4,best_ensemble_model,0.0,higgs,0.7331552040827145,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.7311098835367252,inf,0
85,85,0,best_ensemble_model,0.0,kr-vs-kp,0.9937380141677428,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.9975767390204618,inf,0
86,86,1,best_ensemble_model,0.0,kr-vs-kp,0.9850299401197604,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.997514715944001,inf,0
87,87,2,best_ensemble_model,0.0,kr-vs-kp,0.9967320261437908,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.9961211349447704,inf,0
88,88,3,best_ensemble_model,0.0,kr-vs-kp,1.0,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.9964540244254628,inf,0
89,89,4,best_ensemble_model,0.0,kr-vs-kp,1.0,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.99609012340654,inf,0
90,90,0,best_ensemble_model,0.0,segment,0.9913419913419912,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.9889369889369888,inf,0
91,91,1,best_ensemble_model,0.0,segment,0.9826839826839828,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.9879749879749878,inf,0
92,92,2,best_ensemble_model,0.0,segment,0.9956709956709956,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.987012987012987,inf,0
93,93,3,best_ensemble_model,0.0,segment,0.987012987012987,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.9894179894179894,inf,0
94,94,4,best_ensemble_model,0.0,segment,0.9956709956709956,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.988936988936989,inf,0
95,95,0,best_ensemble_model,0.0,vehicle,0.894426406926407,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.8506492891830908,inf,0
96,96,1,best_ensemble_model,0.0,vehicle,0.814935064935065,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.8623161145697633,inf,0
97,97,2,best_ensemble_model,0.0,vehicle,0.8024891774891775,autosklearnHyperBandFolds_eta2_cv5_repeats1,0.8560125701959124,inf,0
