,fold,model,overfit,task,test,tool,train,val
92,2,best_ensemble_model,0.0,segment,0.9913419913419912,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9841269841269841,inf
93,3,best_ensemble_model,0.0,segment,0.9956709956709956,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9828282828282828,inf
94,4,best_ensemble_model,0.0,segment,1.0,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9836459836459835,inf
95,0,best_ensemble_model,0.0,vehicle,0.8592532467532468,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.8633415804468436,inf
96,1,best_ensemble_model,0.0,vehicle,0.8252164502164502,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.8699027215474584,inf
97,2,best_ensemble_model,0.0,vehicle,0.6753246753246753,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.8631635177687809,inf
98,3,best_ensemble_model,0.0,vehicle,0.8360389610389609,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9224021592442644,inf
99,4,best_ensemble_model,0.0,vehicle,0.7911255411255411,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.8834345479082322,inf
100,0,best_ensemble_model,0.0,Albert,0.6755244097450852,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.6776494565217391,inf
101,1,best_ensemble_model,0.0,Albert,0.6748659580472204,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.6778584866220736,inf
102,2,best_ensemble_model,0.0,Albert,0.6779230552158781,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.6769439799331103,inf
103,3,best_ensemble_model,0.0,Albert,0.6761828614429498,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.6770223662207357,inf
104,4,best_ensemble_model,0.0,Albert,0.6796162167246731,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.6764273389962223,inf
105,0,best_ensemble_model,0.0,Australian,0.8887945670628183,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.880072463768116,inf
106,1,best_ensemble_model,0.0,Australian,0.8314940577249575,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.8916666666666666,inf
107,2,best_ensemble_model,0.0,Australian,0.8463497453310695,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.8817632850241546,inf
108,3,best_ensemble_model,0.0,Australian,0.8463497453310695,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.8990683229813665,inf
109,4,best_ensemble_model,0.0,Australian,0.8828522920203735,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.920807453416149,inf
110,0,best_ensemble_model,0.0,MiniBooNE,0.9377837996899252,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9400204309414772,inf
111,1,best_ensemble_model,0.0,MiniBooNE,0.9373010609594166,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9402750608513466,inf
112,2,best_ensemble_model,0.0,MiniBooNE,0.9378567067948544,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9396389904181016,inf
113,3,best_ensemble_model,0.0,MiniBooNE,0.9432419652124772,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9392896888647452,inf
114,4,best_ensemble_model,0.0,MiniBooNE,0.9411504490741526,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9391243285814556,inf
115,0,best_ensemble_model,0.0,adult,0.8483731828976216,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.8454375572392765,inf
116,1,best_ensemble_model,0.0,adult,0.8361475956283649,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.8448606095475467,inf
117,2,best_ensemble_model,0.0,adult,0.8470318098706814,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.8423062818046183,inf
118,3,best_ensemble_model,0.0,adult,0.8447932487429406,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.8451324505094647,inf
119,4,best_ensemble_model,0.0,adult,0.8391793355648289,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.8464292828107178,inf
120,0,best_ensemble_model,0.0,cnae-9,0.9537037037037036,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9593554593554594,inf
121,1,best_ensemble_model,0.0,cnae-9,0.9259259259259258,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9591149591149593,inf
122,2,best_ensemble_model,0.0,cnae-9,0.9444444444444444,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.964165464165464,inf
123,3,best_ensemble_model,0.0,cnae-9,0.8888888888888888,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.964165464165464,inf
124,4,best_ensemble_model,0.0,cnae-9,0.9537037037037036,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9694564694564692,inf
125,0,best_ensemble_model,0.0,connect-4,0.7549894356424691,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.7466847848884535,inf
126,1,best_ensemble_model,0.0,connect-4,0.7591912835084546,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.7483671446552069,inf
127,2,best_ensemble_model,0.0,connect-4,0.7675921540243368,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.7453883953912017,inf
128,3,best_ensemble_model,0.0,connect-4,0.7538421177053962,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.7472765077573666,inf
129,4,best_ensemble_model,0.0,connect-4,0.7622554559778619,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.7476133197160397,inf
130,0,best_ensemble_model,0.0,higgs,0.7311546491194456,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.7338053394811053,inf
131,1,best_ensemble_model,0.0,higgs,0.7181253048769543,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.7366314562942684,inf
132,2,best_ensemble_model,0.0,higgs,0.7321324677269769,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.7312669227780205,inf
133,3,best_ensemble_model,0.0,higgs,0.7279893834593723,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.7326885836492554,inf
134,4,best_ensemble_model,0.0,higgs,0.7331552040827145,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.7311098835367252,inf
135,0,best_ensemble_model,0.0,kr-vs-kp,0.9937380141677428,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9956084903417294,inf
136,1,best_ensemble_model,0.0,kr-vs-kp,0.9850299401197604,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9964147580129822,inf
137,2,best_ensemble_model,0.0,kr-vs-kp,0.9934640522875816,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9935529186599088,inf
138,3,best_ensemble_model,0.0,kr-vs-kp,1.0,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9932930434000332,inf
139,4,best_ensemble_model,0.0,kr-vs-kp,1.0,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9940726691796592,inf
140,0,best_ensemble_model,0.0,segment,0.9913419913419912,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9866923200256534,inf
141,1,best_ensemble_model,0.0,segment,0.987012987012987,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9849286515953184,inf
142,2,best_ensemble_model,0.0,segment,0.9826839826839828,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9847683181016514,inf
143,3,best_ensemble_model,0.0,segment,0.9913419913419912,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9846079846079848,inf
144,4,best_ensemble_model,0.0,segment,0.9956709956709956,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9842873176206508,inf
145,0,best_ensemble_model,0.0,vehicle,0.8593073593073594,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.8212367401131122,inf
146,1,best_ensemble_model,0.0,vehicle,0.7780844155844155,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.8434182411156095,inf
147,2,best_ensemble_model,0.0,vehicle,0.7094155844155845,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.8197569248388121,inf
148,3,best_ensemble_model,0.0,vehicle,0.8013528138528139,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.8700714125056229,inf
149,4,best_ensemble_model,0.0,vehicle,0.8014069264069263,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.8564158794421952,inf
