,hue,performance,model,dataset_name,level,repeat,seed
92,test_performance_singlemodelFalse,0.9974968357999474,XGBClassifier,3,5,5,6
93,test_performance_singlemodelFalse,0.9974968357999474,GradientBoostingClassifier,3,5,5,6
94,test_performance_singlemodelFalse,0.9974968357999474,LGBMClassifier,3,5,5,6
95,test_performance_singlemodelFalse,0.9974968357999474,MLPClassifier,3,5,5,6
96,test_performance_singlemodelTrue,0.9900061404278249,HistGradientBoostingClassifier,3,0,10,6
97,test_performance_singlemodelTrue,0.993756187420895,RandomForestClassifier,3,0,10,6
98,test_performance_singlemodelTrue,0.99624995300693,DecisionTreeClassifier,3,0,10,6
99,test_performance_singlemodelTrue,0.9349083321846139,LinearDiscriminantAnalysis,3,0,10,6
100,test_performance_singlemodelTrue,0.9900061404278249,XGBClassifier,3,0,10,6
101,test_performance_singlemodelTrue,0.9750435469116154,GradientBoostingClassifier,3,0,10,6
102,test_performance_singlemodelTrue,0.9812497650346496,LGBMClassifier,3,0,10,6
103,test_performance_singlemodelTrue,0.98751237484179,MLPClassifier,3,0,10,6
104,test_performance_singlemodelTrue,0.9962405543929123,HistGradientBoostingClassifier,3,1,10,6
105,test_performance_singlemodelTrue,0.993756187420895,RandomForestClassifier,3,1,10,6
106,test_performance_singlemodelTrue,0.9925093046278776,DecisionTreeClassifier,3,1,10,6
107,test_performance_singlemodelTrue,0.936164613591649,LinearDiscriminantAnalysis,3,1,10,6
108,test_performance_singlemodelTrue,0.9924999060138597,XGBClassifier,3,1,10,6
109,test_performance_singlemodelTrue,0.9850186092557551,GradientBoostingClassifier,3,1,10,6
110,test_performance_singlemodelTrue,0.9825060464416847,LGBMClassifier,3,1,10,6
111,test_performance_singlemodelTrue,0.98751237484179,MLPClassifier,3,1,10,6
112,test_performance_singlemodelTrue,0.9937467888068773,HistGradientBoostingClassifier,3,2,10,6
113,test_performance_singlemodelTrue,0.9925093046278776,RandomForestClassifier,3,2,10,6
114,test_performance_singlemodelTrue,0.9875217734558077,DecisionTreeClassifier,3,2,10,6
115,test_performance_singlemodelTrue,0.936164613591649,LinearDiscriminantAnalysis,3,2,10,6
116,test_performance_singlemodelTrue,0.9937467888068773,XGBClassifier,3,2,10,6
117,test_performance_singlemodelTrue,0.9850186092557551,GradientBoostingClassifier,3,2,10,6
118,test_performance_singlemodelTrue,0.9825060464416847,LGBMClassifier,3,2,10,6
119,test_performance_singlemodelTrue,0.98751237484179,MLPClassifier,3,2,10,6
120,test_performance_singlemodelTrue,0.9949936715998947,HistGradientBoostingClassifier,3,3,10,6
121,test_performance_singlemodelTrue,0.9925093046278776,RandomForestClassifier,3,3,10,6
122,test_performance_singlemodelTrue,0.9875029762277723,DecisionTreeClassifier,3,3,10,6
123,test_performance_singlemodelTrue,0.936164613591649,LinearDiscriminantAnalysis,3,3,10,6
124,test_performance_singlemodelTrue,0.9937467888068773,XGBClassifier,3,3,10,6
125,test_performance_singlemodelTrue,0.9850186092557551,GradientBoostingClassifier,3,3,10,6
126,test_performance_singlemodelTrue,0.9825060464416847,LGBMClassifier,3,3,10,6
127,test_performance_singlemodelTrue,0.98751237484179,MLPClassifier,3,3,10,6
128,test_performance_singlemodelTrue,0.9937467888068773,HistGradientBoostingClassifier,3,4,10,6
129,test_performance_singlemodelTrue,0.9925093046278776,RandomForestClassifier,3,4,10,6
130,test_performance_singlemodelTrue,0.9862560934347548,DecisionTreeClassifier,3,4,10,6
131,test_performance_singlemodelTrue,0.936164613591649,LinearDiscriminantAnalysis,3,4,10,6
132,test_performance_singlemodelTrue,0.9937467888068773,XGBClassifier,3,4,10,6
133,test_performance_singlemodelTrue,0.9850186092557551,GradientBoostingClassifier,3,4,10,6
134,test_performance_singlemodelTrue,0.9825060464416847,LGBMClassifier,3,4,10,6
135,test_performance_singlemodelTrue,0.98751237484179,MLPClassifier,3,4,10,6
136,test_performance_singlemodelTrue,0.9949936715998947,HistGradientBoostingClassifier,3,5,10,6
137,test_performance_singlemodelTrue,0.9925093046278776,RandomForestClassifier,3,5,10,6
138,test_performance_singlemodelTrue,0.9862560934347548,DecisionTreeClassifier,3,5,10,6
139,test_performance_singlemodelTrue,0.936164613591649,LinearDiscriminantAnalysis,3,5,10,6
140,test_performance_singlemodelTrue,0.9937467888068773,XGBClassifier,3,5,10,6
141,test_performance_singlemodelTrue,0.9850186092557551,GradientBoostingClassifier,3,5,10,6
