,tool,model,task,fold_foldmean,overfit_seedmean_foldmean,seed_seedmean_foldmean,test_seedmean_foldmean,train_seedmean_foldmean,val_seedmean_foldmean
69,autosklearnBBCEnsembleSelectionNoPreSelect_es1_B50_N0.5,best_ensemble_model,vehicle,2.0,0.0,127.0,0.844616883116883,0.8534894477751411,inf
70,autosklearnBBCEnsembleSelectionPreSelectInESRegularizedEnd_es1_B100_N1.0,best_ensemble_model,Albert,3.0,0.0,127.0,0.6538660521117486,0.6522896002954323,inf
71,autosklearnBBCEnsembleSelectionPreSelectInESRegularizedEnd_es1_B100_N1.0,best_ensemble_model,Australian,2.0,0.0,127.0,0.8456876061120543,0.8815362318840579,inf
72,autosklearnBBCEnsembleSelectionPreSelectInESRegularizedEnd_es1_B100_N1.0,best_ensemble_model,MiniBooNE,2.0,0.0,127.0,0.9278907619228576,0.9293096679398133,inf
73,autosklearnBBCEnsembleSelectionPreSelectInESRegularizedEnd_es1_B100_N1.0,best_ensemble_model,adult,2.0,,,,,
74,autosklearnBBCEnsembleSelectionPreSelectInESRegularizedEnd_es1_B100_N1.0,best_ensemble_model,cnae-9,2.0,0.0,127.0,0.937037037037037,0.9572016460905349,inf
75,autosklearnBBCEnsembleSelectionPreSelectInESRegularizedEnd_es1_B100_N1.0,best_ensemble_model,connect-4,2.0,,,,,
76,autosklearnBBCEnsembleSelectionPreSelectInESRegularizedEnd_es1_B100_N1.0,best_ensemble_model,higgs,2.0,0.0,107.0,0.7333641050071293,0.7288054676605251,inf
77,autosklearnBBCEnsembleSelectionPreSelectInESRegularizedEnd_es1_B100_N1.0,best_ensemble_model,kr-vs-kp,2.0,0.0,127.0,0.9972885601346327,0.9965354878599518,inf
78,autosklearnBBCEnsembleSelectionPreSelectInESRegularizedEnd_es1_B100_N1.0,best_ensemble_model,segment,2.0,0.0,127.0,0.9897835497835498,0.9859163059163061,inf
79,autosklearnBBCEnsembleSelectionPreSelectInESRegularizedEnd_es1_B100_N1.0,best_ensemble_model,vehicle,2.0,0.0,127.0,0.8482575757575758,0.8549721485495585,inf
80,autosklearnBBCEnsembleSelectionPreSelectInESRegularizedEnd_es1_B10_N1.0,best_ensemble_model,Albert,3.0,0.0,127.0,0.6538660521117486,0.6522896002954323,inf
81,autosklearnBBCEnsembleSelectionPreSelectInESRegularizedEnd_es1_B10_N1.0,best_ensemble_model,Australian,2.0,0.0,127.0,0.8466893039049236,0.8801739130434783,inf
82,autosklearnBBCEnsembleSelectionPreSelectInESRegularizedEnd_es1_B10_N1.0,best_ensemble_model,MiniBooNE,2.0,0.0,127.0,0.9278907619228576,0.9293096679398133,inf
83,autosklearnBBCEnsembleSelectionPreSelectInESRegularizedEnd_es1_B10_N1.0,best_ensemble_model,adult,2.0,0.0,127.0,0.8431682164972655,0.8434336365974469,inf
84,autosklearnBBCEnsembleSelectionPreSelectInESRegularizedEnd_es1_B10_N1.0,best_ensemble_model,cnae-9,2.0,0.0,127.0,0.937037037037037,0.9568724279835392,inf
85,autosklearnBBCEnsembleSelectionPreSelectInESRegularizedEnd_es1_B10_N1.0,best_ensemble_model,connect-4,2.0,0.0,127.0,0.6833373509039125,0.6757387064487472,inf
86,autosklearnBBCEnsembleSelectionPreSelectInESRegularizedEnd_es1_B10_N1.0,best_ensemble_model,higgs,2.0,0.0,127.0,0.7333641050071293,0.7288054676605251,inf
87,autosklearnBBCEnsembleSelectionPreSelectInESRegularizedEnd_es1_B10_N1.0,best_ensemble_model,kr-vs-kp,2.0,0.0,127.0,0.9972885601346327,0.9964980220453272,inf
88,autosklearnBBCEnsembleSelectionPreSelectInESRegularizedEnd_es1_B10_N1.0,best_ensemble_model,segment,2.0,0.0,127.0,0.9906493506493504,0.9856661856661857,inf
89,autosklearnBBCEnsembleSelectionPreSelectInESRegularizedEnd_es1_B10_N1.0,best_ensemble_model,vehicle,2.0,0.0,127.0,0.8476233766233767,0.8546833934977052,inf
90,autosklearnBBCEnsembleSelectionPreSelectInESRegularizedEnd_es1_B50_N0.5,best_ensemble_model,Albert,3.0,0.0,127.0,0.6538660521117486,0.6522896002954323,inf
91,autosklearnBBCEnsembleSelectionPreSelectInESRegularizedEnd_es1_B50_N0.5,best_ensemble_model,Australian,2.0,0.0,127.0,0.8434634974533107,0.8808115942028986,inf
92,autosklearnBBCEnsembleSelectionPreSelectInESRegularizedEnd_es1_B50_N0.5,best_ensemble_model,MiniBooNE,2.0,0.0,127.0,0.9278907619228576,0.9293096679398133,inf
93,autosklearnBBCEnsembleSelectionPreSelectInESRegularizedEnd_es1_B50_N0.5,best_ensemble_model,adult,2.0,0.0,127.0,0.8431682164972655,0.8434336365974469,inf
94,autosklearnBBCEnsembleSelectionPreSelectInESRegularizedEnd_es1_B50_N0.5,best_ensemble_model,cnae-9,2.0,0.0,127.0,0.937037037037037,0.9572016460905349,inf
95,autosklearnBBCEnsembleSelectionPreSelectInESRegularizedEnd_es1_B50_N0.5,best_ensemble_model,connect-4,2.0,0.0,127.0,0.6833373509039125,0.6757387064487472,inf
96,autosklearnBBCEnsembleSelectionPreSelectInESRegularizedEnd_es1_B50_N0.5,best_ensemble_model,higgs,2.0,0.0,127.0,0.7333641050071293,0.7288054676605251,inf
97,autosklearnBBCEnsembleSelectionPreSelectInESRegularizedEnd_es1_B50_N0.5,best_ensemble_model,kr-vs-kp,2.0,0.0,127.0,0.9974192790888811,0.996477593194518,inf
98,autosklearnBBCEnsembleSelectionPreSelectInESRegularizedEnd_es1_B50_N0.5,best_ensemble_model,segment,2.0,0.0,127.0,0.9899567099567099,0.9856854256854257,inf
99,autosklearnBBCEnsembleSelectionPreSelectInESRegularizedEnd_es1_B50_N0.5,best_ensemble_model,vehicle,2.0,0.0,127.0,0.844616883116883,0.8534894477751411,inf
100,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B100_N1.0,best_ensemble_model,Albert,3.0,0.0,117.0,0.6538660521117486,0.6522896002954323,inf
101,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B100_N1.0,best_ensemble_model,Australian,2.0,0.0,117.0,0.8468590831918507,0.8816666666666666,inf
102,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B100_N1.0,best_ensemble_model,MiniBooNE,2.0,0.0,117.0,0.9278907619228576,0.9293096679398131,inf
103,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B100_N1.0,best_ensemble_model,adult,2.0,0.0,127.0,0.8431682164972653,0.8434336365974469,inf
104,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B100_N1.0,best_ensemble_model,cnae-9,2.0,0.0,117.0,0.9370370370370369,0.9572016460905349,inf
105,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B100_N1.0,best_ensemble_model,connect-4,2.0,0.0,127.0,0.6833373509039125,0.6757387064487472,inf
106,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B100_N1.0,best_ensemble_model,higgs,2.0,0.0,127.0,0.7333641050071293,0.7288054676605251,inf
107,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B100_N1.0,best_ensemble_model,kr-vs-kp,2.0,0.0,117.0,0.9973321331193823,0.9965350743727756,inf
108,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B100_N1.0,best_ensemble_model,segment,2.0,0.0,117.0,0.98989898989899,0.9859227192560527,inf
109,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B100_N1.0,best_ensemble_model,vehicle,2.0,0.0,117.0,0.8487987012987013,0.8548414034599441,inf
110,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B10_N1.0,best_ensemble_model,Albert,3.0,0.0,127.0,0.6538660521117486,0.6522896002954323,inf
111,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B10_N1.0,best_ensemble_model,Australian,2.0,0.0,127.0,0.8466893039049236,0.8801739130434783,inf
112,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B10_N1.0,best_ensemble_model,MiniBooNE,2.0,0.0,127.0,0.9278907619228576,0.9293096679398133,inf
113,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B10_N1.0,best_ensemble_model,adult,2.0,0.0,127.0,0.8431682164972655,0.8434336365974469,inf
114,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B10_N1.0,best_ensemble_model,cnae-9,2.0,0.0,127.0,0.937037037037037,0.956872427983539,inf
115,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B10_N1.0,best_ensemble_model,connect-4,2.0,0.0,127.0,0.6833373509039125,0.6757387064487472,inf
116,autosklearnBBCEnsembleSelectionPreSelectInES_es1_B10_N1.0,best_ensemble_model,higgs,2.0,0.0,127.0,0.7333641050071293,0.7288054676605251,inf
