,hue,repeated_ensemble,performance,model,dataset_name,level,repeat,multikfold,seed,val_score
102,test_performance_singlemodelFalse,False,0.8681511470985155,EnsembleSelection,146818,5,1,False,11,0.8854394104803494
102,test_performance_singlemodelFalse,False,0.8686245252306022,EnsembleSelection,146818,5,1,False,43,0.8624708624708625
102,test_performance_singlemodelFalse,False,0.8705716586151369,EnsembleSelection,146818,5,1,False,95,0.8702756815031573
102,test_performance_singlemodelFalse,False,0.9617916618082905,EnsembleSelection,146822,5,1,False,16,0.968983121329769
102,test_performance_singlemodelFalse,False,0.9672627944458415,EnsembleSelection,146822,5,1,False,36,0.9601561817284189
102,test_performance_singlemodelFalse,False,0.97462909368104,EnsembleSelection,146822,5,1,False,76,0.9690967829829938
102,test_performance_singlemodelFalse,False,0.9816316331630104,EnsembleSelection,146822,5,1,False,73,0.967637590810946
102,test_performance_singlemodelFalse,False,0.984418468037232,EnsembleSelection,146822,5,1,False,28,0.9622585958845713
102,test_performance_singlemodelFalse,False,0.9910684055426673,EnsembleSelection,3,5,1,False,93,0.9948542724370473
102,test_performance_singlemodelFalse,False,0.9911515265736901,EnsembleSelection,3,5,1,False,57,0.993242677765906
102,test_performance_singlemodelFalse,False,0.9924048568776498,EnsembleSelection,3,5,1,False,7,0.994584013733618
102,test_performance_singlemodelFalse,False,0.994949494949495,EnsembleSelection,3,5,1,False,84,0.9940464966204465
102,test_performance_singlemodelFalse,False,0.9972677595628415,EnsembleSelection,3,5,1,False,86,0.9923264594465768
103,test_performance_singlemodelFalse,True,,EnsembleSelection,10101,5,1,False,20,
103,test_performance_singlemodelFalse,True,,EnsembleSelection,10101,5,1,False,34,
103,test_performance_singlemodelFalse,True,,EnsembleSelection,10101,5,1,False,6,
103,test_performance_singlemodelFalse,True,,EnsembleSelection,10101,5,1,False,75,
103,test_performance_singlemodelFalse,True,,EnsembleSelection,10101,5,1,False,78,
103,test_performance_singlemodelFalse,True,,EnsembleSelection,146818,5,1,False,11,
103,test_performance_singlemodelFalse,True,,EnsembleSelection,146818,5,1,False,43,
103,test_performance_singlemodelFalse,True,,EnsembleSelection,146818,5,1,False,68,
103,test_performance_singlemodelFalse,True,,EnsembleSelection,146818,5,1,False,8,
103,test_performance_singlemodelFalse,True,,EnsembleSelection,146818,5,1,False,95,
103,test_performance_singlemodelFalse,True,,EnsembleSelection,146822,5,1,False,16,
103,test_performance_singlemodelFalse,True,,EnsembleSelection,146822,5,1,False,28,
103,test_performance_singlemodelFalse,True,,EnsembleSelection,146822,5,1,False,36,
103,test_performance_singlemodelFalse,True,,EnsembleSelection,146822,5,1,False,73,
103,test_performance_singlemodelFalse,True,,EnsembleSelection,146822,5,1,False,76,
103,test_performance_singlemodelFalse,True,,EnsembleSelection,3,5,1,False,57,
103,test_performance_singlemodelFalse,True,,EnsembleSelection,3,5,1,False,7,
103,test_performance_singlemodelFalse,True,,EnsembleSelection,3,5,1,False,84,
103,test_performance_singlemodelFalse,True,,EnsembleSelection,3,5,1,False,86,
103,test_performance_singlemodelFalse,True,,EnsembleSelection,3,5,1,False,93,
103,test_performance_singlemodelFalse,True,,EnsembleSelection,53,5,1,False,1,
103,test_performance_singlemodelFalse,True,,EnsembleSelection,53,5,1,False,12,
103,test_performance_singlemodelFalse,True,,EnsembleSelection,53,5,1,False,28,
103,test_performance_singlemodelFalse,True,,EnsembleSelection,53,5,1,False,95,
103,test_performance_singlemodelFalse,True,,EnsembleSelection,7592,5,1,False,27,
103,test_performance_singlemodelFalse,True,,EnsembleSelection,7592,5,1,False,31,
103,test_performance_singlemodelFalse,True,,EnsembleSelection,7592,5,1,False,47,
103,test_performance_singlemodelFalse,True,,EnsembleSelection,7592,5,1,False,49,
103,test_performance_singlemodelFalse,True,,EnsembleSelection,7592,5,1,False,85,
104,test_performance_singlemodelFalse,False,0.5603146853146853,HistGradientBoostingClassifier,10101,6,1,False,34,0.6220245377328812
104,test_performance_singlemodelFalse,False,0.597086660751257,HistGradientBoostingClassifier,10101,6,1,False,20,0.6171134797588286
104,test_performance_singlemodelFalse,False,0.627813752698119,HistGradientBoostingClassifier,10101,6,1,False,75,0.585081585081585
104,test_performance_singlemodelFalse,False,0.6662043795620438,HistGradientBoostingClassifier,10101,6,1,False,78,0.581733545034642
104,test_performance_singlemodelFalse,False,0.6798540145985401,HistGradientBoostingClassifier,10101,6,1,False,6,0.6158342956120093
104,test_performance_singlemodelFalse,False,0.7536971304930193,HistGradientBoostingClassifier,53,6,1,False,28,0.7437662011191423
104,test_performance_singlemodelFalse,False,0.7693780944734377,HistGradientBoostingClassifier,53,6,1,False,1,0.7758622289744244
104,test_performance_singlemodelFalse,False,0.7701410379212104,HistGradientBoostingClassifier,53,6,1,False,12,0.76611165635145
104,test_performance_singlemodelFalse,False,0.7733786266513742,HistGradientBoostingClassifier,53,6,1,False,95,0.7389559143686503
104,test_performance_singlemodelFalse,False,0.7843439697645589,HistGradientBoostingClassifier,7592,6,1,False,31,0.7907336026273812
104,test_performance_singlemodelFalse,False,0.7926512156833716,HistGradientBoostingClassifier,7592,6,1,False,27,0.7890852713273808
104,test_performance_singlemodelFalse,False,0.8010309384147072,HistGradientBoostingClassifier,7592,6,1,False,49,0.786908807505337
