,single_model,repeated_ensemble,dataset_name,model,level,repeat,splits,iteration,seed,performance
311,False,False,146822,HistGradientBoostingClassifier,0,5,5,11,55,0.9698679224006556
312,False,False,146822,HistGradientBoostingClassifier,0,5,5,12,55,0.9732106387975591
313,False,False,146822,HistGradientBoostingClassifier,0,5,5,13,55,0.9715686026727645
314,False,False,146822,HistGradientBoostingClassifier,0,5,5,14,55,0.9715099585254503
315,False,False,146822,HistGradientBoostingClassifier,0,5,5,15,55,0.9715099585254503
316,False,False,146822,HistGradientBoostingClassifier,0,5,5,16,55,0.9732106387975591
317,False,False,146822,HistGradientBoostingClassifier,0,5,5,17,55,0.9715099585254503
318,False,False,146822,HistGradientBoostingClassifier,0,5,5,18,55,0.9715099585254503
319,False,False,146822,HistGradientBoostingClassifier,0,5,5,19,55,0.9732106387975591
320,False,False,146822,HistGradientBoostingClassifier,0,5,5,20,55,0.9732106387975591
321,False,False,146822,HistGradientBoostingClassifier,0,5,5,21,55,0.9732106387975591
322,False,False,146822,HistGradientBoostingClassifier,0,5,5,22,55,0.9732106387975591
323,False,False,146822,HistGradientBoostingClassifier,0,5,5,23,55,0.9732106387975591
324,False,False,146822,HistGradientBoostingClassifier,0,5,5,24,55,0.9715686026727645
325,False,False,146822,RandomForestClassifier,0,5,5,0,55,0.9630162074676287
326,False,False,146822,RandomForestClassifier,0,5,5,1,55,0.964573209578818
327,False,False,146822,RandomForestClassifier,0,5,5,2,55,0.9646318537261321
328,False,False,146822,RandomForestClassifier,0,5,5,3,55,0.9646318537261321
329,False,False,146822,RandomForestClassifier,0,5,5,4,55,0.9646318537261321
330,False,False,146822,RandomForestClassifier,0,5,5,5,55,0.9646318537261321
331,False,False,146822,RandomForestClassifier,0,5,5,6,55,0.9629311734540232
332,False,False,146822,RandomForestClassifier,0,5,5,7,55,0.9646318537261321
333,False,False,146822,RandomForestClassifier,0,5,5,8,55,0.9646318537261321
334,False,False,146822,RandomForestClassifier,0,5,5,9,55,0.9646318537261321
335,False,False,146822,RandomForestClassifier,0,5,5,10,55,0.9646318537261321
336,False,False,146822,RandomForestClassifier,0,5,5,11,55,0.9646318537261321
337,False,False,146822,RandomForestClassifier,0,5,5,12,55,0.9646318537261321
338,False,False,146822,RandomForestClassifier,0,5,5,13,55,0.9646318537261321
339,False,False,146822,RandomForestClassifier,0,5,5,14,55,0.9646318537261321
340,False,False,146822,RandomForestClassifier,0,5,5,15,55,0.9646318537261321
341,False,False,146822,RandomForestClassifier,0,5,5,16,55,0.9646318537261321
342,False,False,146822,RandomForestClassifier,0,5,5,17,55,0.9646318537261321
343,False,False,146822,RandomForestClassifier,0,5,5,18,55,0.9646318537261321
344,False,False,146822,RandomForestClassifier,0,5,5,19,55,0.9646318537261321
345,False,False,146822,RandomForestClassifier,0,5,5,20,55,0.9646318537261321
346,False,False,146822,RandomForestClassifier,0,5,5,21,55,0.9646318537261321
347,False,False,146822,RandomForestClassifier,0,5,5,22,55,0.9646318537261321
348,False,False,146822,RandomForestClassifier,0,5,5,23,55,0.9646318537261321
