JobID|JobName|MaxRSS|Elapsed|MaxDiskRead|MaxDiskWrite|MaxRSS|MaxVMSize|MinCPU|TotalCPU
4687893.batch|batch|1296K|00:00:10|0|0|1296K|152804K|00:00:00|00:02.381
4687894|autosklearn_master_thesis_3600s1c8G_Albert_1||00:00:07||||||00:01.773
4687894.batch|batch|1300K|00:00:07|0|0|1300K|152804K|00:00:00|00:01.773
4687896|autosklearn_master_thesis_3600s1c8G_Albert_2||00:00:04||||||00:01.769
4687896.batch|batch|1292K|00:00:04|0|0|1292K|152804K|00:00:00|00:01.769
4687898|autosklearn_master_thesis_3600s1c8G_Albert_3||00:00:10||||||00:01.812
4687898.batch|batch|1292K|00:00:10|0|0|1292K|152804K|00:00:00|00:01.812
4687899|autosklearn_master_thesis_3600s1c8G_Albert_4||00:00:18||||||00:02.947
4687899.batch|batch|1296K|00:00:18|0|0|1296K|152804K|00:00:00|00:02.947
4687902|autosklearn_master_thesis_3600s1c8G_Albert_0||01:04:27||||||01:14:15
4687902.batch|batch|7354672K|01:04:27|11957.70M|862.99M|7354672K|12463540K|00:11:42|01:14:15
4687903|autosklearn_master_thesis_3600s1c8G_Albert_1||01:04:04||||||01:07:10
4687903.batch|batch|7178M|01:04:04|11414.61M|771.74M|7178M|12456164K|00:09:12|01:07:10
4687904|autosklearn_master_thesis_3600s1c8G_Albert_2||01:05:33||||||01:10:13
4687904.batch|batch|7356320K|01:05:33|10615.04M|1254.63M|7356320K|12377292K|00:10:17|01:10:13
4687905|autosklearn_master_thesis_3600s1c8G_Albert_3||01:04:18||||||01:10:01
4687905.batch|batch|7346952K|01:04:18|11780.94M|882.92M|7346952K|12455356K|00:09:31|01:10:01
4687907|autosklearn_master_thesis_3600s1c8G_Albert_4||01:04:35||||||01:14:38
4687907.batch|batch|7748564K|01:04:35|11716.93M|819.46M|7748564K|13706484K|00:14:50|01:14:38
4688080|autosklearn_master_thesis_3600s1c8G_MiniBooNE_0||01:00:30||||||01:02:33
4688080.batch|batch|4574344K|01:00:30|1520.26M|326.42M|4574344K|9610456K|00:07:56|01:02:33
4688081|autosklearn_master_thesis_3600s1c8G_MiniBooNE_1||01:00:35||||||01:03:19
4688081.batch|batch|4571284K|01:00:35|1576.85M|331.63M|4571284K|9610520K|00:08:39|01:03:19
4688082|autosklearn_master_thesis_3600s1c8G_Australian_0||01:00:07||||||01:07:06
4688082.batch|batch|4157552K|01:00:07|202.64M|404.10M|4157552K|9216252K|00:32:47|01:07:06
4688083|autosklearn_master_thesis_3600s1c8G_Australian_1||01:00:03||||||01:09:11
4688083.batch|batch|3025092K|01:00:03|427.83M|737.99M|3025092K|8169508K|00:50:28|01:09:11
4688084|autosklearn_master_thesis_3600s1c8G_Australian_2||01:00:07||||||01:09:44
4688084.batch|batch|1473788K|01:00:07|262.92M|1431.83M|1473788K|6545532K|00:48:14|01:09:44
4688085|autosklearn_master_thesis_3600s1c8G_Australian_3||01:00:05||||||01:07:33
4688085.batch|batch|4135948K|01:00:05|196.14M|496.69M|4135948K|9199316K|00:31:05|01:07:33
4688087|autosklearn_master_thesis_3600s1c8G_Australian_4||01:00:09||||||01:05:07
4688087.batch|batch|4002792K|01:00:09|233.41M|666.00M|4002792K|9332896K|00:34:19|01:05:07
4688106|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_cnae-9_0||01:00:45||||||02:00:06
4688106.batch|batch|3818112K|01:00:45|1138.49M|2997.84M|3818112K|8882480K|01:04:40|02:00:06
4688108|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_cnae-9_1||01:00:06||||||01:59:25
4688108.batch|batch|3406112K|01:00:06|1010.27M|3855.80M|3406112K|8428744K|01:07:11|01:59:25
4688109|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_cnae-9_2||01:00:30||||||02:00:00
4688109.batch|batch|3446128K|01:00:30|704.56M|1876.05M|3446128K|8575908K|01:02:20|02:00:00
4688110|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_cnae-9_3||01:00:15||||||01:59:36
4688110.batch|batch|3532792K|01:00:15|705.12M|1769.91M|3532792K|8552780K|01:05:12|01:59:36
4688111|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_cnae-9_4||01:00:19||||||01:59:46
4688111.batch|batch|3544352K|01:00:19|798.52M|2039.78M|3544352K|8560496K|01:02:57|01:59:46
4688112|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_higgs_0||01:00:45||||||01:11:56
4688112.batch|batch|4481984K|01:00:45|746.54M|418.58M|4481984K|9499872K|00:24:01|01:11:56
4688113|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_higgs_1||01:00:49||||||01:27:09
4688113.batch|batch|4477396K|01:00:49|768.39M|418.68M|4477396K|9495644K|00:32:24|01:27:09
4688114|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_higgs_2||01:00:46||||||01:27:07
4688114.batch|batch|4477492K|01:00:46|746.76M|418.95M|4477492K|9497564K|00:32:17|01:27:07
4688115|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_higgs_3||01:00:43||||||01:27:13
4688115.batch|batch|4474392K|01:00:43|768.58M|418.92M|4474392K|9494108K|00:31:39|01:27:13
4688116|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_higgs_4||01:00:46||||||01:27:00
4688116.batch|batch|4482440K|01:00:46|746.78M|418.88M|4482440K|9722116K|00:31:55|01:27:00
4688117|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_kr-vs-kp_0||01:00:25||||||01:55:51
4688117.batch|batch|3907348K|01:00:25|188.71M|1001.28M|3907348K|9128784K|00:59:24|01:55:51
4688118|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_kr-vs-kp_1||01:00:30||||||01:55:50
4688118.batch|batch|4248708K|01:00:30|504.81M|850.74M|4248708K|9287580K|00:59:35|01:55:50
4688119|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_kr-vs-kp_2||01:00:35||||||01:56:00
4688119.batch|batch|3993884K|01:00:35|778.26M|986.11M|3993884K|9120140K|00:56:01|01:56:00
4688120|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_kr-vs-kp_3||01:00:15||||||01:55:32
4688120.batch|batch|3708016K|01:00:15|177.76M|821.77M|3708016K|8861024K|00:58:51|01:55:32
4688121|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_kr-vs-kp_4||01:00:35||||||01:56:07
4688121.batch|batch|4207912K|01:00:35|821.45M|1356.64M|4207912K|9283428K|00:59:32|01:56:07
4688122|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_vehicle_0||01:00:17||||||01:59:23
4688122.batch|batch|3974928K|01:00:17|230.61M|2134.42M|3974928K|9228216K|01:16:29|01:59:23
4688123|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_vehicle_1||01:00:11||||||01:59:13
4688123.batch|batch|3366276K|01:00:11|258.58M|2450.46M|3366276K|8401476K|01:20:59|01:59:13
4688124|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_vehicle_2||01:00:20||||||01:59:25
4688124.batch|batch|3649656K|01:00:20|121.16M|8435.46M|3649656K|8685672K|01:09:23|01:59:25
4688125|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_vehicle_3||01:00:06||||||01:59:15
4688125.batch|batch|3604452K|01:00:06|245.50M|2386.18M|3604452K|8641004K|01:16:10|01:59:15
4688126|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_vehicle_4||01:00:08||||||01:59:13
4688126.batch|batch|3776820K|01:00:08|192.61M|2361.65M|3776820K|8812284K|01:13:29|01:59:13
4688127|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_MiniBooNE_0||01:00:12||||||01:23:51
4688127.batch|batch|4853444K|01:00:12|1421.61M|531.96M|4853444K|9963072K|00:26:12|01:23:51
4688128|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_MiniBooNE_1||01:00:12||||||01:23:09
4688128.batch|batch|4929732K|01:00:12|1421.34M|531.95M|4929732K|9968408K|00:24:41|01:23:09
4688129|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_MiniBooNE_2||01:00:17||||||01:23:43
4688129.batch|batch|4774144K|01:00:17|1421.64M|531.95M|4774144K|9809624K|00:25:47|01:23:43
4688130|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_MiniBooNE_3||01:00:19||||||01:23:10
4688130.batch|batch|4856704K|01:00:19|1421.65M|531.94M|4856704K|9891968K|00:25:12|01:23:10
4688131|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_MiniBooNE_4||01:00:13||||||01:22:38
4688131.batch|batch|4740268K|01:00:13|1421.64M|531.90M|4740268K|9774484K|00:25:41|01:22:38
4688132|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_connect-4_0||01:01:13||||||01:45:29
4688132.batch|batch|4659288K|01:01:13|844.81M|481.00M|4659288K|9734492K|00:46:26|01:45:29
4688134|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_connect-4_1||01:01:14||||||01:45:45
4688134.batch|batch|4547724K|01:01:14|845.72M|481.75M|4547724K|9635880K|00:46:14|01:45:45
4688135|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_connect-4_2||01:01:11||||||01:45:37
4688135.batch|batch|4457.50M|01:01:11|846.10M|483.61M|4457.50M|9667628K|00:46:30|01:45:37
4688136|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_connect-4_3||01:01:13||||||01:45:02
4688136.batch|batch|4664488K|01:01:13|847.51M|482.47M|4664488K|9742508K|00:46:28|01:45:02
4688137|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_connect-4_4||01:01:05||||||01:45:55
4688137.batch|batch|4658336K|01:01:05|845.25M|483.72M|4658336K|9734532K|00:48:41|01:45:55
4688138|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_segment_0||01:00:18||||||01:59:18
4688138.batch|batch|4282660K|01:00:18|179.95M|2668.44M|4282660K|9406024K|01:05:20|01:59:18
4688139|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_segment_1||01:00:20||||||01:59:07
4688139.batch|batch|4104884K|01:00:20|152.28M|1659.27M|4104884K|9085796K|01:02:15|01:59:07
4688140|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_segment_2||01:00:25||||||01:59:16
4688140.batch|batch|4077300K|01:00:25|136.59M|1235.74M|4077300K|9123572K|01:03:47|01:59:16
4688141|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_segment_3||01:00:07||||||01:59:03
4688141.batch|batch|4246920K|01:00:07|161.15M|1872.41M|4246920K|9285948K|01:04:31|01:59:03
4688142|autosklearnBBCScoreEnsemble_B_100_Nb_25_master_thesis_3600s1c8G_segment_4||01:00:06||||||01:59:10
4688142.batch|batch|4108160K|01:00:06|167.60M|3089.95M|4108160K|9159984K|01:04:22|01:59:10
