task,tool,0,1,2,3,4
cnae-9,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,0.9660493827160493,0.9012345679012345,0.9629629629629628,0.9444444444444443,0.95679012345679
cnae-9,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgTrue,0.9660493827160493,0.9074074074074073,0.9660493827160493,0.9351851851851851,0.9475308641975309
connect-4,autosklearn,0.7429618287078933,0.7592758105532244,0.7643646031447089,0.759593547258515,0.7642407070121845
connect-4,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.7060545444135259,0.7162593042236841,0.7235895395473745,0.7087286490584327,0.7162886968068047
connect-4,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,0.7051534613112764,0.7167447132087222,0.7251512492011267,0.7095053809231874,0.7182305166562992
higgs,autosklearn,0.7372633543306574,0.7213806790389836,0.7315863294238122,0.7311789833504384,0.7362338288815421
higgs,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.739414784851104,0.7235989602104423,0.7352711715364745,0.7351408588457774,0.7361495905004486
higgs,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,0.7397827660649648,0.7237558842695778,0.7349555354467907,0.7356213404344034,0.7355609306340206
higgs,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,0.7363918121873639,0.7219999711141738,0.7369846186315415,0.7354419755762128,0.7346674249512416
higgs,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgTrue,0.7370757425598335,0.7230433672257576,0.7355453920859905,0.7361992235208255,0.7351614801343106
kr-vs-kp,autosklearn,0.9924660482955657,0.9850299401197603,0.9967320261437908,1.0,1.0
kr-vs-kp,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.9967320261437908,0.9850299401197603,0.9967320261437908,1.0,1.0
kr-vs-kp,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,0.994553376906318,0.9850299401197603,0.9967320261437908,1.0,1.0
kr-vs-kp,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,0.9967320261437908,0.9850299401197603,0.9967320261437908,1.0,1.0
kr-vs-kp,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgTrue,0.9967320261437908,0.9850299401197603,0.9967320261437908,1.0,1.0
segment,autosklearn,0.9884559884559884,0.9711399711399711,0.98989898989899,0.98989898989899,1.0
segment,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.9913419913419913,0.987012987012987,0.9913419913419913,0.9812409812409814,0.9956709956709956
segment,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,0.9913419913419913,0.9826839826839827,0.9913419913419913,0.987012987012987,0.997113997113997
segment,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,0.9913419913419913,0.987012987012987,0.9956709956709956,0.9812409812409814,0.9985569985569985
segment,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgTrue,0.9913419913419913,0.9841269841269842,0.9913419913419913,0.987012987012987,0.997113997113997
vehicle,autosklearn,0.8827200577200577,0.8214285714285715,0.8214285714285715,0.8097041847041847,0.8497474747474746
vehicle,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,0.8751262626262627,0.8176406926406926,0.7947330447330447,0.801948051948052,0.8336940836940836
vehicle,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,0.8830627705627707,0.8252164502164502,0.8062770562770561,0.8057359307359309,0.8336940836940836
vehicle,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,0.8628787878787879,0.7867965367965368,0.7205988455988456,0.8127705627705627,0.8064574314574314
vehicle,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgTrue,0.9069264069264068,0.814033189033189,0.7474747474747475,0.7932900432900434,0.8257575757575757
