,tool,model,task,fold,index,overfit,test,train,val,seed
92,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,segment,2,92,0.0,0.9913419913419913,0.9863716530383195,inf,1
93,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,segment,3,93,0.0,0.9812409812409814,0.9876543209876544,inf,1
94,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,segment,4,94,0.0,0.9956709956709956,0.9878146544813212,inf,1
95,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,vehicle,0,95,0.0,0.8751262626262627,0.8689182285064733,inf,1
96,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,vehicle,1,96,0.0,0.8176406926406926,0.8753190960238025,inf,1
97,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,vehicle,2,97,0.0,0.7947330447330447,0.8708129466643587,inf,1
98,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,vehicle,3,98,0.0,0.801948051948052,0.8709377643755033,inf,1
99,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgFalse,best_ensemble_model,vehicle,4,99,0.0,0.8336940836940836,0.8805904971067221,inf,1
100,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,Albert,0,100,0.0,0.568275170100022,0.5671890731856869,inf,1
101,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,Albert,1,101,0.0,0.5664801053522717,0.5678571055299491,inf,1
102,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,Albert,2,102,0.0,0.5670209763898034,0.5676663635698533,inf,1
