,hue,repeated_ensemble,performance,model,dataset_name,level,repeat,splits,seed,val_score
10,test_performance_singlemodelFalse,False,0.9702020088509868,DecisionTreeClassifier,146822,1,5,2,17,0.9656672707851613
10,test_performance_singlemodelFalse,False,0.9730866052233154,DecisionTreeClassifier,146822,1,5,2,78,0.9654584180321244
10,test_performance_singlemodelFalse,False,0.9750491829067421,DecisionTreeClassifier,146822,1,5,2,25,0.9652979161745989
10,test_performance_singlemodelFalse,False,0.976565734989648,DecisionTreeClassifier,146822,1,5,2,67,0.9617547056255302
10,test_performance_singlemodelFalse,False,0.9924717101718067,DecisionTreeClassifier,3,1,5,2,68,0.9936967892638302
10,test_performance_singlemodelFalse,False,0.9924777816830689,DecisionTreeClassifier,3,1,5,2,82,0.9917530095602721
10,test_performance_singlemodelFalse,False,0.9924968671679197,DecisionTreeClassifier,3,1,5,2,24,0.9902954677249195
10,test_performance_singlemodelFalse,False,0.9936390996300708,DecisionTreeClassifier,3,1,5,2,93,0.9915504675649908
10,test_performance_singlemodelFalse,False,0.9950213059280612,DecisionTreeClassifier,3,1,5,2,10,0.9927233620581293
11,test_performance_singlemodelFalse,False,0.5878815911193339,LinearDiscriminantAnalysis,10101,1,5,2,80,0.6325757575757576
11,test_performance_singlemodelFalse,False,0.6146011396011396,LinearDiscriminantAnalysis,10101,1,5,2,97,0.6060755336617405
11,test_performance_singlemodelFalse,False,0.6157276995305164,LinearDiscriminantAnalysis,10101,1,5,2,98,0.6012051155927202
11,test_performance_singlemodelFalse,False,0.6486810551558753,LinearDiscriminantAnalysis,10101,1,5,2,49,0.581010173121542
11,test_performance_singlemodelFalse,False,0.6561825470243601,LinearDiscriminantAnalysis,10101,1,5,2,5,0.5958624708624709
11,test_performance_singlemodelFalse,False,0.7721150776107673,LinearDiscriminantAnalysis,53,1,5,2,12,0.7978319261436742
11,test_performance_singlemodelFalse,False,0.7747023809523809,LinearDiscriminantAnalysis,53,1,5,2,59,0.7968115882765903
11,test_performance_singlemodelFalse,False,0.7930580915669169,LinearDiscriminantAnalysis,53,1,5,2,17,0.7888671505788756
11,test_performance_singlemodelFalse,False,0.8005937350386583,LinearDiscriminantAnalysis,7592,1,5,2,31,0.8023649794240226
11,test_performance_singlemodelFalse,False,0.80073507019582,LinearDiscriminantAnalysis,7592,1,5,2,13,0.8060112861228736
11,test_performance_singlemodelFalse,False,0.8023087412021621,LinearDiscriminantAnalysis,7592,1,5,2,97,0.8012366469139058
11,test_performance_singlemodelFalse,False,0.805825504663032,LinearDiscriminantAnalysis,7592,1,5,2,34,0.8018451233661129
11,test_performance_singlemodelFalse,False,0.806171413703751,LinearDiscriminantAnalysis,53,1,5,2,95,0.78175269109821
11,test_performance_singlemodelFalse,False,0.8100085448130581,LinearDiscriminantAnalysis,7592,1,5,2,1,0.8019314763342515
11,test_performance_singlemodelFalse,False,0.8423157871324872,LinearDiscriminantAnalysis,53,1,5,2,46,0.7893036838091174
11,test_performance_singlemodelFalse,False,0.8545515394912986,LinearDiscriminantAnalysis,146818,1,5,2,8,0.8604415529010239
11,test_performance_singlemodelFalse,False,0.8879920702350609,LinearDiscriminantAnalysis,146818,1,5,2,47,0.8588084069998196
