,framework,task,fold,submitted_ta_runs,finished_ta_runs,n_configs,wallclock_time_used,ta_time_used,inc_changed,_n_configs_per_intensify,_n_calls_of_intensify,_ema_n_configs_per_intensifiy,_EMA_ALPHA
38,autosklearnHyperBandFolds_eta2_cv5_repeats3,Australian,3,639,639,96,3566.1384456157684,2683.3686056137085,3,121,18,6.839504057466882,0.2
39,autosklearnHyperBandFolds_eta2_cv5_repeats3,Australian,4,662,662,97,3563.8270530700684,2625.6518030166626,5,126,19,6.471603245973506,0.2
40,autosklearnHyperBandFolds_eta2_cv5_repeats3,adult,0,67,67,15,3565.4935727119446,3407.082904815674,3,17,2,10.0,0.2
41,autosklearnHyperBandFolds_eta2_cv5_repeats3,adult,1,64,64,15,3569.8513112068176,3427.5891025066376,2,17,2,10.0,0.2
42,autosklearnHyperBandFolds_eta2_cv5_repeats3,adult,2,64,64,15,3567.106976747513,3419.039779663086,2,17,2,10.0,0.2
43,autosklearnHyperBandFolds_eta2_cv5_repeats3,adult,3,67,67,15,3567.167390346527,3413.2368466854095,3,17,2,10.0,0.2
44,autosklearnHyperBandFolds_eta2_cv5_repeats3,adult,4,67,67,15,3567.553811073303,3408.971656560898,3,17,2,10.0,0.2
45,autosklearnHyperBandFolds_eta2_cv5_repeats3,Albert,0,21,21,8,3540.206065893173,3422.0943038463593,2,0,0,0.0,0.2
46,autosklearnHyperBandFolds_eta2_cv5_repeats3,Albert,1,21,21,8,3542.109949827194,3423.951297521591,2,0,0,0.0,0.2
47,autosklearnHyperBandFolds_eta2_cv5_repeats3,Albert,2,21,21,8,3539.7317881584167,3407.366282939911,2,0,0,0.0,0.2
48,autosklearnHyperBandFolds_eta2_cv5_repeats3,Albert,3,21,21,8,3540.000622034073,3420.8563985824585,2,0,0,0.0,0.2
49,autosklearnHyperBandFolds_eta2_cv5_repeats3,Albert,4,20,20,8,3537.549297094345,3420.351980447769,2,0,0,0.0,0.2
