,id,task,framework,constraint,fold,result,metric,mode,version,params,tag,utc,duration,models,seed,info,acc,predict_duration
40,openml.org/t/9981,cnae-9,autoPyTorch,3600s8c32G,0,0.9629629999999999,acc,singularity,reproduce,,stable,2021-03-03T09:41:43,3616.2,1.0,719221334,,0.9629629999999999,0.39505100000000004
41,openml.org/t/9981,cnae-9,autoPyTorch,3600s8c32G,1,0.916667,acc,singularity,reproduce,,stable,2021-03-03T09:39:39,3286.9,1.0,649397226,,0.916667,0.41793
42,openml.org/t/9981,cnae-9,autoPyTorch,3600s8c32G,2,0.9537040000000001,acc,singularity,reproduce,,stable,2021-03-03T09:40:42,3224.7,1.0,1470213444,,0.9537040000000001,0.5693590000000001
43,openml.org/t/9981,cnae-9,autoPyTorch,3600s8c32G,3,0.9537040000000001,acc,singularity,reproduce,,stable,2021-03-03T09:47:47,3379.8,1.0,1280015799,,0.9537040000000001,0.746599
44,openml.org/t/9981,cnae-9,autoPyTorch,3600s8c32G,4,0.9814809999999999,acc,singularity,reproduce,,stable,2021-03-03T09:44:54,3190.5,1.0,3995848733,,0.9814809999999999,0.283432
45,openml.org/t/9981,cnae-9,autoPyTorch,3600s8c32G,5,0.9444440000000001,acc,singularity,reproduce,,stable,2021-03-03T09:52:57,3671.6,1.0,2871745012,,0.9444440000000001,0.410121
46,openml.org/t/9981,cnae-9,autoPyTorch,3600s8c32G,7,0.9537040000000001,acc,singularity,reproduce,,stable,2021-03-03T09:52:12,3268.8,1.0,2327598748,,0.9537040000000001,0.31881
47,openml.org/t/9981,cnae-9,autoPyTorch,3600s8c32G,8,0.9722219999999999,acc,singularity,reproduce,,stable,2021-03-03T09:51:58,3174.9,1.0,1230230854,,0.9722219999999999,0.27166799999999997
48,openml.org/t/9981,cnae-9,autoPyTorch,3600s8c32G,9,0.9722219999999999,acc,singularity,reproduce,,stable,2021-03-03T09:59:36,3602.9,1.0,570414522,,0.9722219999999999,0.383745
49,openml.org/t/31,credit-g,autoPyTorch,3600s8c32G,0,,acc,singularity,reproduce,,stable,2021-03-03T11:01:26,7225.1,,3495280195,TimeoutError: Interrupting thread current after 7200s timeout.,,
50,openml.org/t/31,credit-g,autoPyTorch,3600s8c32G,1,0.77,acc,singularity,reproduce,,stable,2021-03-03T09:55:05,3223.2,1.0,1262170860,,0.77,0.5383060000000001
51,openml.org/t/31,credit-g,autoPyTorch,3600s8c32G,2,0.72,acc,singularity,reproduce,,stable,2021-03-03T09:55:22,3159.1,1.0,2342173664,,0.72,0.5668449999999999
52,openml.org/t/31,credit-g,autoPyTorch,3600s8c32G,3,0.71,acc,singularity,reproduce,,stable,2021-03-03T10:03:28,3629.2,1.0,1166471996,,0.71,1.80872
53,openml.org/t/31,credit-g,autoPyTorch,3600s8c32G,4,0.71,acc,singularity,reproduce,,stable,2021-03-03T10:03:46,3573.9,1.0,2340113192,,0.71,0.640654
54,openml.org/t/31,credit-g,autoPyTorch,3600s8c32G,5,0.75,acc,singularity,reproduce,,stable,2021-03-03T09:58:13,3114.2,1.0,2083962270,,0.75,0.591042
55,openml.org/t/31,credit-g,autoPyTorch,3600s8c32G,6,0.78,acc,singularity,reproduce,,stable,2021-03-03T10:02:21,3285.9,1.0,2966686045,,0.78,0.544863
56,openml.org/t/31,credit-g,autoPyTorch,3600s8c32G,7,0.75,acc,singularity,reproduce,,stable,2021-03-03T10:01:23,3201.1,1.0,2181767420,,0.75,0.48894499999999996
57,openml.org/t/31,credit-g,autoPyTorch,3600s8c32G,8,0.74,acc,singularity,reproduce,,stable,2021-03-03T10:05:17,3384.2,1.0,1651562664,,0.74,0.896898
58,openml.org/t/31,credit-g,autoPyTorch,3600s8c32G,9,0.71,acc,singularity,reproduce,,stable,2021-03-03T10:05:33,3365.8,1.0,943387248,,0.71,0.548346
59,openml.org/t/168909,dilbert,autoPyTorch,3600s8c32G,0,0.988,acc,singularity,reproduce,,stable,2021-03-03T10:36:20,5208.3,1.0,219969260,,0.988,0.124676
60,openml.org/t/168909,dilbert,autoPyTorch,3600s8c32G,1,0.993,acc,singularity,reproduce,,stable,2021-03-03T10:43:44,5523.1,1.0,1030461096,,0.993,0.147671
61,openml.org/t/168909,dilbert,autoPyTorch,3600s8c32G,2,0.992,acc,singularity,reproduce,,stable,2021-03-03T10:40:13,5017.6,1.0,3388864913,,0.992,0.133689
62,openml.org/t/168909,dilbert,autoPyTorch,3600s8c32G,5,0.9940000000000001,acc,singularity,reproduce,,stable,2021-03-03T10:56:28,4850.9,1.0,3282576675,,0.9940000000000001,0.118756
63,openml.org/t/168909,dilbert,autoPyTorch,3600s8c32G,6,0.992,acc,singularity,reproduce,,stable,2021-03-03T11:11:43,5493.0,1.0,3653243088,,0.992,0.153976
64,openml.org/t/168909,dilbert,autoPyTorch,3600s8c32G,7,0.99,acc,singularity,reproduce,,stable,2021-03-03T11:03:16,4924.5,1.0,3100303072,,0.99,0.17181
65,openml.org/t/168909,dilbert,autoPyTorch,3600s8c32G,8,0.991,acc,singularity,reproduce,,stable,2021-03-03T11:28:54,6397.0,1.0,2700888469,,0.991,0.15696400000000002
66,openml.org/t/168909,dilbert,autoPyTorch,3600s8c32G,9,0.998,acc,singularity,reproduce,,stable,2021-03-03T11:22:50,5991.3,1.0,3306301710,,0.998,0.156674
67,openml.org/t/168910,fabert,autoPyTorch,3600s8c32G,0,0.720874,acc,singularity,reproduce,,stable,2021-03-03T11:04:00,4724.5,1.0,4263341081,,0.720874,0.181859
68,openml.org/t/168910,fabert,autoPyTorch,3600s8c32G,2,0.7245149999999999,acc,singularity,reproduce,,stable,2021-03-03T10:58:31,4229.5,1.0,1670644070,,0.7245149999999999,0.5257390000000001
69,openml.org/t/168910,fabert,autoPyTorch,3600s8c32G,3,0.723301,acc,singularity,reproduce,,stable,2021-03-03T11:00:42,4103.3,1.0,1531254608,,0.723301,0.167624
70,openml.org/t/168910,fabert,autoPyTorch,3600s8c32G,4,0.730583,acc,singularity,reproduce,,stable,2021-03-03T10:56:24,3829.0,1.0,2214257205,,0.730583,0.278986
71,openml.org/t/168910,fabert,autoPyTorch,3600s8c32G,5,0.726942,acc,singularity,reproduce,,stable,2021-03-03T11:10:35,4685.5,1.0,3058113193,,0.726942,0.30885100000000004
72,openml.org/t/168910,fabert,autoPyTorch,3600s8c32G,6,0.708738,acc,singularity,reproduce,,stable,2021-03-03T11:11:14,4672.7,1.0,3943112527,,0.708738,0.24718800000000002
73,openml.org/t/168910,fabert,autoPyTorch,3600s8c32G,8,0.722965,acc,singularity,reproduce,,stable,2021-03-03T10:53:55,3568.3,1.0,862295093,,0.722965,0.275912
74,openml.org/t/168910,fabert,autoPyTorch,3600s8c32G,9,0.708384,acc,singularity,reproduce,,stable,2021-03-03T10:53:36,3517.1,1.0,2838914712,,0.708384,0.23403400000000002
75,openml.org/t/168911,jasmine,autoPyTorch,3600s8c32G,0,0.816054,acc,singularity,reproduce,,stable,2021-03-03T10:52:04,3405.4,1.0,666421767,,0.816054,0.343816
76,openml.org/t/168911,jasmine,autoPyTorch,3600s8c32G,1,0.8026760000000001,acc,singularity,reproduce,,stable,2021-03-03T10:47:09,3092.9,1.0,3015197540,,0.8026760000000001,0.415495
77,openml.org/t/168911,jasmine,autoPyTorch,3600s8c32G,2,0.842809,acc,singularity,reproduce,,stable,2021-03-03T11:04:21,4043.3,1.0,1242554305,,0.842809,0.615056
78,openml.org/t/168911,jasmine,autoPyTorch,3600s8c32G,3,0.822742,acc,singularity,reproduce,,stable,2021-03-03T11:02:14,3829.7,1.0,4008107599,,0.822742,0.28586999999999996
79,openml.org/t/168911,jasmine,autoPyTorch,3600s8c32G,4,0.798658,acc,singularity,reproduce,,stable,2021-03-03T11:00:55,3660.5,1.0,2546021331,,0.798658,0.283812
80,openml.org/t/168911,jasmine,autoPyTorch,3600s8c32G,6,0.828859,acc,singularity,reproduce,,stable,2021-03-03T10:56:07,3264.9,1.0,3933054841,,0.828859,0.315357
81,openml.org/t/168911,jasmine,autoPyTorch,3600s8c32G,7,0.8154359999999999,acc,singularity,reproduce,,stable,2021-03-03T10:58:21,3341.8,1.0,300177452,,0.8154359999999999,0.36001
82,openml.org/t/168911,jasmine,autoPyTorch,3600s8c32G,8,0.842282,acc,singularity,reproduce,,stable,2021-03-03T10:57:44,3239.9,1.0,918068827,,0.842282,1.22298
83,openml.org/t/168911,jasmine,autoPyTorch,3600s8c32G,9,0.805369,acc,singularity,reproduce,,stable,2021-03-03T10:57:20,3196.0,1.0,168746098,,0.805369,0.5756319999999999
84,openml.org/t/3917,kc1,autoPyTorch,3600s8c32G,0,0.853081,acc,singularity,reproduce,,stable,2021-03-03T11:00:22,3285.1,1.0,2003472086,,0.853081,0.370702
85,openml.org/t/3917,kc1,autoPyTorch,3600s8c32G,1,0.848341,acc,singularity,reproduce,,stable,2021-03-03T11:05:31,3580.5,1.0,299871673,,0.848341,0.470055
86,openml.org/t/3917,kc1,autoPyTorch,3600s8c32G,2,0.85782,acc,singularity,reproduce,,stable,2021-03-03T10:59:13,3103.2,1.0,2801372540,,0.85782,0.625926
87,openml.org/t/3917,kc1,autoPyTorch,3600s8c32G,3,0.862559,acc,singularity,reproduce,,stable,2021-03-03T11:10:44,3512.4,1.0,2021567070,,0.862559,0.589546
88,openml.org/t/3917,kc1,autoPyTorch,3600s8c32G,4,0.8199049999999999,acc,singularity,reproduce,,stable,2021-03-03T11:04:43,3126.4,1.0,2013077738,,0.8199049999999999,0.39514699999999997
89,openml.org/t/3917,kc1,autoPyTorch,3600s8c32G,5,0.8388629999999999,acc,singularity,reproduce,,stable,2021-03-03T11:12:04,3284.2,1.0,1898140174,,0.8388629999999999,0.571127
90,openml.org/t/3917,kc1,autoPyTorch,3600s8c32G,6,0.848341,acc,singularity,reproduce,,stable,2021-03-03T11:21:10,3816.4,1.0,411665459,,0.848341,0.48684399999999994
91,openml.org/t/3917,kc1,autoPyTorch,3600s8c32G,7,0.876777,acc,singularity,reproduce,,stable,2021-03-03T11:13:51,3295.7,1.0,1447390636,,0.876777,0.34081100000000003
92,openml.org/t/3917,kc1,autoPyTorch,3600s8c32G,8,0.876777,acc,singularity,reproduce,,stable,2021-03-03T11:13:18,3186.4,1.0,4127569420,,0.876777,0.437857
93,openml.org/t/3917,kc1,autoPyTorch,3600s8c32G,9,0.833333,acc,singularity,reproduce,,stable,2021-03-03T11:12:36,3125.5,1.0,605422157,,0.833333,0.537143
94,openml.org/t/3,kr-vs-kp,autoPyTorch,3600s8c32G,0,0.99375,acc,singularity,reproduce,,stable,2021-03-03T11:18:28,3195.5,1.0,3252023756,,0.99375,0.346362
95,openml.org/t/3,kr-vs-kp,autoPyTorch,3600s8c32G,1,0.984375,acc,singularity,reproduce,,stable,2021-03-03T11:29:11,3747.9,1.0,1804884242,,0.984375,0.45985699999999996
96,openml.org/t/3,kr-vs-kp,autoPyTorch,3600s8c32G,3,0.996875,acc,singularity,reproduce,,stable,2021-03-03T11:24:46,3262.9,1.0,877508294,,0.996875,0.367888
97,openml.org/t/3,kr-vs-kp,autoPyTorch,3600s8c32G,4,1.0,acc,singularity,reproduce,,stable,2021-03-03T11:43:36,4312.5,1.0,3800544776,,1.0,0.482337
98,openml.org/t/3,kr-vs-kp,autoPyTorch,3600s8c32G,5,0.996875,acc,singularity,reproduce,,stable,2021-03-03T11:31:54,3356.8,1.0,3296695989,,0.996875,0.505257
99,openml.org/t/3,kr-vs-kp,autoPyTorch,3600s8c32G,6,0.987461,acc,singularity,reproduce,,stable,2021-03-03T11:55:41,4748.0,1.0,3918560427,,0.987461,0.225241
100,openml.org/t/3,kr-vs-kp,autoPyTorch,3600s8c32G,7,0.987461,acc,singularity,reproduce,,stable,2021-03-03T11:36:53,3384.9,1.0,3640256943,,0.987461,0.288035
101,openml.org/t/3,kr-vs-kp,autoPyTorch,3600s8c32G,8,0.9905959999999999,acc,singularity,reproduce,,stable,2021-03-03T11:40:53,3488.2,1.0,612487862,,0.9905959999999999,0.670944
102,openml.org/t/3,kr-vs-kp,autoPyTorch,3600s8c32G,9,0.9937299999999999,acc,singularity,reproduce,,stable,2021-03-03T11:35:56,3118.2,1.0,208795801,,0.9937299999999999,1.04562
103,openml.org/t/12,mfeat-factors,autoPyTorch,3600s8c32G,0,0.98,acc,singularity,reproduce,,stable,2021-03-03T11:40:12,3312.3,1.0,3551235396,,0.98,0.475145
104,openml.org/t/12,mfeat-factors,autoPyTorch,3600s8c32G,1,0.985,acc,singularity,reproduce,,stable,2021-03-03T11:42:12,3384.6,1.0,1026278081,,0.985,0.463685
105,openml.org/t/12,mfeat-factors,autoPyTorch,3600s8c32G,2,0.975,acc,singularity,reproduce,,stable,2021-03-03T11:46:44,3559.2,1.0,2594658667,,0.975,0.47184499999999996
106,openml.org/t/12,mfeat-factors,autoPyTorch,3600s8c32G,3,0.975,acc,singularity,reproduce,,stable,2021-03-03T11:42:30,3255.5,1.0,4249368794,,0.975,0.47758
107,openml.org/t/12,mfeat-factors,autoPyTorch,3600s8c32G,4,0.97,acc,singularity,reproduce,,stable,2021-03-03T11:55:28,3847.4,1.0,1189261534,,0.97,0.286903
108,openml.org/t/12,mfeat-factors,autoPyTorch,3600s8c32G,6,0.98,acc,singularity,reproduce,,stable,2021-03-03T11:49:01,3326.2,1.0,4198646889,,0.98,0.343172
109,openml.org/t/12,mfeat-factors,autoPyTorch,3600s8c32G,7,0.98,acc,singularity,reproduce,,stable,2021-03-03T11:51:19,3464.2,1.0,1762964778,,0.98,0.538185
110,openml.org/t/12,mfeat-factors,autoPyTorch,3600s8c32G,8,0.99,acc,singularity,reproduce,,stable,2021-03-03T11:48:46,3295.1,1.0,1812501111,,0.99,0.510793
111,openml.org/t/12,mfeat-factors,autoPyTorch,3600s8c32G,9,0.985,acc,singularity,reproduce,,stable,2021-03-03T11:51:14,3427.8,1.0,3508969825,,0.985,0.432853
112,openml.org/t/9952,phoneme,autoPyTorch,3600s8c32G,0,,acc,singularity,reproduce,,stable,2021-03-03T13:06:23,7896.6,,3721329983,TimeoutError: Interrupting thread current after 7200s timeout.,,
113,openml.org/t/9952,phoneme,autoPyTorch,3600s8c32G,1,0.926063,acc,singularity,reproduce,,stable,2021-03-03T12:00:14,3900.9,1.0,723014326,,0.926063,0.35238400000000003
114,openml.org/t/9952,phoneme,autoPyTorch,3600s8c32G,2,0.896488,acc,singularity,reproduce,,stable,2021-03-03T11:47:59,3150.2,1.0,3941644849,,0.896488,0.7035140000000001
