,id,task,framework,constraint,fold,result,metric,mode,version,params,tag,utc,duration,models,seed,info,balacc,models_ensemble_count,predict_duration
110,openml.org/t/12,mfeat-factors,AutoGluon,3600s8c32G,0,0.975,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:55:31,3597.5,28,2787382133,,0.975,4,5.793
110,openml.org/t/3945,KDDCup09_appetency,AutoGluon,3600s8c32G,0,0.505516,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:30:54,3618.5,0.0,2731754451,,0.505516,0.0,113.854
111,openml.org/t/12,mfeat-factors,AutoGluon,3600s8c32G,1,0.97,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:58:26,3595.9,28,1075441893,,0.97,2,0.365255
111,openml.org/t/3945,KDDCup09_appetency,AutoGluon,3600s8c32G,1,0.5,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:30:54,3618.4,0.0,813371034,,0.5,0.0,108.841
112,openml.org/t/12,mfeat-factors,AutoGluon,3600s8c32G,2,0.975,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:59:33,3595.7,28,3089299287,,0.975,18,20.5804
112,openml.org/t/3945,KDDCup09_appetency,AutoGluon,3600s8c32G,2,0.505618,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:28:55,3604.2,0.0,3349758640,,0.505618,0.0,25.1155
113,openml.org/t/12,mfeat-factors,AutoGluon,3600s8c32G,3,0.97,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:59:31,3589.6,28,3461716020,,0.97,16,17.7477
113,openml.org/t/3945,KDDCup09_appetency,AutoGluon,3600s8c32G,3,0.5,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:30:46,3618.2,0.0,1367371998,,0.5,0.0,120.063
114,openml.org/t/12,mfeat-factors,AutoGluon,3600s8c32G,4,0.97,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:59:58,3595.4,28,1965737610,,0.97,19,23.9274
114,openml.org/t/3945,KDDCup09_appetency,AutoGluon,3600s8c32G,4,0.510727,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:28:09,3618.0,0.0,1627142798,,0.510727,0.0,23.1666
115,openml.org/t/12,mfeat-factors,AutoGluon,3600s8c32G,5,0.975,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:59:40,3594.3,28,292413704,,0.975,7,10.3189
115,openml.org/t/3945,KDDCup09_appetency,AutoGluon,3600s8c32G,5,0.499796,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:28:02,3618.1,0.0,196455877,,0.499796,0.0,24.2825
116,openml.org/t/12,mfeat-factors,AutoGluon,3600s8c32G,6,0.985,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T14:01:01,3591.2,28,483244117,,0.985,5,5.98995
116,openml.org/t/3945,KDDCup09_appetency,AutoGluon,3600s8c32G,6,0.505618,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:27:46,3618.2,0.0,2283872877,,0.505618,0.0,23.6377
117,openml.org/t/12,mfeat-factors,AutoGluon,3600s8c32G,7,0.98,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T14:01:43,3597.8,28,3930831658,,0.98,20,21.5175
117,openml.org/t/3945,KDDCup09_appetency,AutoGluon,3600s8c32G,7,0.505414,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:28:13,3618.3,0.0,782916166,,0.505414,0.0,23.185
118,openml.org/t/12,mfeat-factors,AutoGluon,3600s8c32G,8,0.985,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T14:01:39,3592.1,28,3987422616,,0.985,15,17.2037
118,openml.org/t/3945,KDDCup09_appetency,AutoGluon,3600s8c32G,8,0.5,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:31:29,3618.4,0.0,3533810611,,0.5,0.0,117.768
119,openml.org/t/12,mfeat-factors,AutoGluon,3600s8c32G,9,0.99,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T14:01:59,3593.6,28,993739599,,0.99,18,17.6741
119,openml.org/t/3945,KDDCup09_appetency,AutoGluon,3600s8c32G,9,0.505516,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:32:50,3657.9,0.0,595402508,,0.505516,0.0,121.009
12,openml.org/t/10101,blood-transfusion,AutoGluon,3600s8c32G,2,0.548246,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:07:36,3313.7,0,2007156849,,0.548246,0,16.2015
12,openml.org/t/34539,Amazon_employee_access,AutoGluon,3600s8c32G,2,0.721537,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T14:23:15,3610.1,0.0,2512269602,,0.721537,0.0,37.4937
120,openml.org/t/168335,MiniBooNE,AutoGluon,3600s8c32G,0,0.940093,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:33:22,3640.5,0.0,1965447738,,0.940093,0.0,159.586
120,openml.org/t/9952,phoneme,AutoGluon,3600s8c32G,0,0.908838,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:46:48,2637.3,0,2951655936,,0.908838,0,33.4091
121,openml.org/t/168335,MiniBooNE,AutoGluon,3600s8c32G,1,0.945411,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:33:48,3639.4,0.0,3789648481,,0.945411,0.0,161.88
121,openml.org/t/9952,phoneme,AutoGluon,3600s8c32G,1,0.925343,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:58:38,3278.9,0,3514958795,,0.925343,0,37.9348
122,openml.org/t/168335,MiniBooNE,AutoGluon,3600s8c32G,2,0.946681,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:35:39,3644.0,0.0,2603511774,,0.946681,0.0,163.527
122,openml.org/t/9952,phoneme,AutoGluon,3600s8c32G,2,0.873193,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:46:23,2566.6,0,3482294155,,0.873193,0,26.0662
123,openml.org/t/168335,MiniBooNE,AutoGluon,3600s8c32G,3,0.948979,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:36:55,3638.5,0.0,520721667,,0.948979,0.0,125.112
123,openml.org/t/9952,phoneme,AutoGluon,3600s8c32G,3,0.886043,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:45:43,2520.1,0,2666052786,,0.886043,0,21.0774
124,openml.org/t/168335,MiniBooNE,AutoGluon,3600s8c32G,4,0.947387,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:41:07,3638.5,0.0,2409386729,,0.947387,0.0,223.122
124,openml.org/t/9952,phoneme,AutoGluon,3600s8c32G,4,0.88871,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:48:13,2679.3,0,1327829824,,0.88871,0,17.9038
125,openml.org/t/168335,MiniBooNE,AutoGluon,3600s8c32G,5,0.950324,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:37:28,3644.4,0.0,1026632596,,0.950324,0.0,154.689
125,openml.org/t/9952,phoneme,AutoGluon,3600s8c32G,5,0.920571,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T14:01:59,3304.8,0,1085388274,,0.920571,0,30.8495
126,openml.org/t/168335,MiniBooNE,AutoGluon,3600s8c32G,6,0.952001,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:38:12,3639.1,0.0,3914597561,,0.952001,0.0,162.139
126,openml.org/t/9952,phoneme,AutoGluon,3600s8c32G,6,0.928971,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T14:01:13,3248.2,0,3501507901,,0.928971,0,35.781
127,openml.org/t/168335,MiniBooNE,AutoGluon,3600s8c32G,7,0.946161,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:37:11,3641.2,0.0,4270985541,,0.946161,0.0,113.714
127,openml.org/t/9952,phoneme,AutoGluon,3600s8c32G,7,0.894161,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T14:01:01,3207.8,0,3285140392,,0.894161,0,36.8037
128,openml.org/t/168335,MiniBooNE,AutoGluon,3600s8c32G,8,0.952085,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:39:21,3640.8,0.0,1018458978,,0.952085,0.0,146.31
128,openml.org/t/9952,phoneme,AutoGluon,3600s8c32G,8,0.888055,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:52:20,2709.0,0,4244907228,,0.888055,0,16.5561
129,openml.org/t/168335,MiniBooNE,AutoGluon,3600s8c32G,9,0.949649,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:45:17,3654.0,0.0,1904469313,,0.949649,0.0,198.946
129,openml.org/t/9952,phoneme,AutoGluon,3600s8c32G,9,0.903531,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:54:14,2833.3,0,132198000,,0.903531,0,15.2561
13,openml.org/t/10101,blood-transfusion,AutoGluon,3600s8c32G,3,0.678363,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:09:35,3413.4,0,249661081,,0.678363,0,19.4379
13,openml.org/t/34539,Amazon_employee_access,AutoGluon,3600s8c32G,3,0.662064,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T14:23:15,3611.9,0.0,3775564495,,0.662064,0.0,36.8285
130,openml.org/t/146822,segment,AutoGluon,3600s8c32G,0,0.991342,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T14:07:54,3577.5,28,454887700,,0.991342,19,17.2327
130,openml.org/t/9977,nomao,AutoGluon,3600s8c32G,0,0.970948,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:35:12,3613.0,0.0,3628136304,,0.970948,0.0,69.0504
131,openml.org/t/146822,segment,AutoGluon,3600s8c32G,1,0.978355,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T14:07:40,3570.2,28,1889407665,,0.978355,15,15.0157
131,openml.org/t/9977,nomao,AutoGluon,3600s8c32G,1,0.971368,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:35:30,3612.9,0.0,254623754,,0.971368,0.0,73.5417
132,openml.org/t/146822,segment,AutoGluon,3600s8c32G,2,0.995671,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T14:07:40,3569.2,28,3598150655,,0.995671,15,14.8125
132,openml.org/t/9977,nomao,AutoGluon,3600s8c32G,2,0.966089,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:36:11,3612.8,0.0,570674223,,0.966089,0.0,91.1815
133,openml.org/t/146822,segment,AutoGluon,3600s8c32G,3,0.991342,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T14:08:14,3569.3,28,116919384,,0.991342,26,28.8708
133,openml.org/t/9977,nomao,AutoGluon,3600s8c32G,3,0.976648,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:36:55,3612.4,0.0,3943105687,,0.976648,0.0,108.897
134,openml.org/t/146822,segment,AutoGluon,3600s8c32G,4,0.995671,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T14:07:48,3571.8,28,1796578765,,0.995671,15,15.2381
134,openml.org/t/9977,nomao,AutoGluon,3600s8c32G,4,0.972181,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:36:11,3613.3,0.0,3166043494,,0.972181,0.0,80.6119
135,openml.org/t/146822,segment,AutoGluon,3600s8c32G,5,0.974026,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T14:07:57,3569.9,28,2922116500,,0.974026,15,14.8461
135,openml.org/t/9977,nomao,AutoGluon,3600s8c32G,5,0.968607,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:36:25,3612.6,0.0,1891461160,,0.968607,0.0,87.7235
136,openml.org/t/146822,segment,AutoGluon,3600s8c32G,6,0.991342,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T14:08:39,3581.1,28,870716101,,0.991342,17,21.3114
136,openml.org/t/9977,nomao,AutoGluon,3600s8c32G,6,0.969826,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:35:52,3612.4,0.0,4217232914,,0.969826,0.0,68.7048
137,openml.org/t/146822,segment,AutoGluon,3600s8c32G,7,0.978355,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T14:08:16,3571.1,28,233867937,,0.978355,19,17.6404
137,openml.org/t/9977,nomao,AutoGluon,3600s8c32G,7,0.973585,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:37:45,3614.5,0.0,4164677874,,0.973585,0.0,102.566
138,openml.org/t/146822,segment,AutoGluon,3600s8c32G,8,0.995671,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T14:08:08,3573.5,28,1959078298,,0.995671,7,5.44923
138,openml.org/t/9977,nomao,AutoGluon,3600s8c32G,8,0.970131,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:38:24,3612.9,0.0,2416668806,,0.970131,0.0,88.0232
139,openml.org/t/146822,segment,AutoGluon,3600s8c32G,9,0.978355,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T14:08:01,3572.4,28,473004714,,0.978355,4,1.65408
139,openml.org/t/9977,nomao,AutoGluon,3600s8c32G,9,0.968095,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T15:38:45,3613.1,0.0,1199643981,,0.968095,0.0,71.9441
14,openml.org/t/10101,blood-transfusion,AutoGluon,3600s8c32G,4,0.649123,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:10:23,3446.8,0,3017169260,,0.649123,0,21.083
14,openml.org/t/34539,Amazon_employee_access,AutoGluon,3600s8c32G,4,0.754695,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T14:23:16,3612.3,0.0,1020508114,,0.754695,0.0,34.8445
140,openml.org/t/168338,riccardo,AutoGluon,3600s8c32G,0,0.998667,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T16:34:07,3608.2,0.0,3332010116,,0.998667,0.0,839.705
140,openml.org/t/168912,sylvine,AutoGluon,3600s8c32G,0,0.945358,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T14:02:35,3136.9,0,2156530455,,0.945358,0,40.3342
141,openml.org/t/168338,riccardo,AutoGluon,3600s8c32G,1,0.998333,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T16:35:58,3610.7,0.0,535149886,,0.998333,0.0,852.191
141,openml.org/t/168912,sylvine,AutoGluon,3600s8c32G,1,0.955131,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:57:27,2850.4,0,4156428572,,0.955131,0,29.9304
142,openml.org/t/168338,riccardo,AutoGluon,3600s8c32G,2,0.998333,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T16:35:27,3610.9,0.0,313290665,,0.998333,0.0,788.966
142,openml.org/t/168912,sylvine,AutoGluon,3600s8c32G,2,0.961059,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:57:00,2812.4,0,3934178411,,0.961059,0,30.099
143,openml.org/t/168338,riccardo,AutoGluon,3600s8c32G,3,0.999333,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T16:36:03,3608.2,0.0,1790951994,,0.999333,0.0,765.909
143,openml.org/t/168912,sylvine,AutoGluon,3600s8c32G,3,0.947395,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:55:17,2711.1,0,2779717184,,0.947395,0,16.3341
144,openml.org/t/168338,riccardo,AutoGluon,3600s8c32G,4,0.998,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T16:42:26,3610.1,0.0,1329613883,,0.998,0.0,893.288
144,openml.org/t/168912,sylvine,AutoGluon,3600s8c32G,4,0.962891,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:56:56,2776.0,0,10379296,,0.962891,0,30.4018
145,openml.org/t/168338,riccardo,AutoGluon,3600s8c32G,5,0.998333,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T16:36:24,3622.6,0.0,1251146536,,0.998333,0.0,705.355
145,openml.org/t/168912,sylvine,AutoGluon,3600s8c32G,5,0.953125,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:56:23,2707.5,0,1182287334,,0.953125,0,40.7513
146,openml.org/t/168338,riccardo,AutoGluon,3600s8c32G,6,0.999,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T16:25:26,3608.1,0.0,3871988623,,0.999,0.0,395.449
146,openml.org/t/168912,sylvine,AutoGluon,3600s8c32G,6,0.958984,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T14:08:31,3384.4,0,2174782098,,0.958984,0,52.6207
147,openml.org/t/168338,riccardo,AutoGluon,3600s8c32G,7,0.997333,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T16:37:45,3610.0,0.0,2977126616,,0.997333,0.0,756.218
147,openml.org/t/168912,sylvine,AutoGluon,3600s8c32G,7,0.947266,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T14:07:50,3393.4,0,1336328336,,0.947266,0,31.0076
148,openml.org/t/168338,riccardo,AutoGluon,3600s8c32G,8,,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T16:55:46,7285.6,,3777852048,TimeoutError: Interrupting thread current after 7200s timeout.,,,
148,openml.org/t/168912,sylvine,AutoGluon,3600s8c32G,8,0.957031,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T14:07:23,3366.6,0,3114831119,,0.957031,0,30.5139
149,openml.org/t/168338,riccardo,AutoGluon,3600s8c32G,9,0.997333,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T16:46:50,3608.8,0.0,4240092607,,0.997333,0.0,954.613
149,openml.org/t/168912,sylvine,AutoGluon,3600s8c32G,9,0.957031,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:58:40,2835.5,0,103968507,,0.957031,0,34.4685
15,openml.org/t/10101,blood-transfusion,AutoGluon,3600s8c32G,5,0.612573,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:08:25,3342.8,0,2605142014,,0.612573,0,18.8623
15,openml.org/t/34539,Amazon_employee_access,AutoGluon,3600s8c32G,5,0.660121,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T14:23:18,3612.7,0.0,12582878,,0.660121,0.0,31.7875
150,openml.org/t/168332,Robert,AutoGluon,3600s8c32G,0,0.504262,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T16:10:10,3615.5,5.0,328614837,,0.504262,3.0,225.356
150,openml.org/t/53,vehicle,AutoGluon,3600s8c32G,0,0.894968,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:55:02,2663.8,28,2764100810,,0.894968,17,17.9699
151,openml.org/t/168332,Robert,AutoGluon,3600s8c32G,1,0.483407,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T16:05:18,3612.4,6.0,2824875552,,0.483407,3.0,82.7024
151,openml.org/t/53,vehicle,AutoGluon,3600s8c32G,1,0.825758,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:54:17,2608.6,28,2330840846,,0.825758,16,16.3527
152,openml.org/t/168332,Robert,AutoGluon,3600s8c32G,2,0.492238,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T16:07:40,3610.4,6.0,2491876799,,0.492238,3.0,79.1081
152,openml.org/t/53,vehicle,AutoGluon,3600s8c32G,2,0.871753,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:55:12,2666.2,28,3964298875,,0.871753,18,16.4622
153,openml.org/t/168332,Robert,AutoGluon,3600s8c32G,3,0.469232,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T16:07:53,3604.1,6.0,1077169615,,0.469232,3.0,78.4145
153,openml.org/t/53,vehicle,AutoGluon,3600s8c32G,3,0.848972,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T13:56:02,2677.8,28,3076231197,,0.848972,16,14.4924
154,openml.org/t/168332,Robert,AutoGluon,3600s8c32G,4,0.509168,balacc,singularity,0.0.12,{'presets': 'best_quality'},stable,2021-02-23T16:07:29,3605.1,7.0,3160805109,,0.509168,4.0,68.7295
