,id,task,framework,constraint,fold,result,metric,mode,version,params,tag,utc,duration,models,seed,info,acc
161,openml.org/t/XX,Shuttle,AutoPyTorch_refactor,3600s8c32G,4,0.9996551723999999,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9996551723999999
162,openml.org/t/XX,Shuttle,AutoPyTorch_refactor,3600s8c32G,5,0.9994827586,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9994827586
163,openml.org/t/146212,Shuttle,AutoPyTorch_refactor,3600s8c32G,6,1.0,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T21:23:04,3663.0,0,3826882825,,1.0
164,openml.org/t/XX,Shuttle,AutoPyTorch_refactor,3600s8c32G,7,1.0,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,1.0
165,openml.org/t/XX,Shuttle,AutoPyTorch_refactor,3600s8c32G,8,0.9996551723999999,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9996551723999999
166,openml.org/t/146212,Shuttle,AutoPyTorch_refactor,3600s8c32G,9,1.0,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T21:23:43,3663.9,0,2460557241,,1.0
167,openml.org/t/XX,Volkert,AutoPyTorch_refactor,3600s8c32G,0,0.5280397873,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.5280397873
168,openml.org/t/XX,Volkert,AutoPyTorch_refactor,3600s8c32G,1,0.6122448979999999,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.6122448979999999
169,openml.org/t/168331,Volkert,AutoPyTorch_refactor,3600s8c32G,2,0.58875,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T21:29:07,3668.4,0,500263715,,0.58875
17,openml.org/t/10101,blood-transfusion,AutoPyTorch_refactor,3600s8c32G,7,0.76,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T17:16:05,3668.0,0,338126092,,0.76
17,openml.org/t/XX,Amazon_employee_access,AutoPyTorch_refactor,3600s8c32G,7,0.949038755,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.949038755
170,openml.org/t/XX,Volkert,AutoPyTorch_refactor,3600s8c32G,3,0.5666266507,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.5666266507
171,openml.org/t/XX,Volkert,AutoPyTorch_refactor,3600s8c32G,4,0.5937232036,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.5937232036
172,openml.org/t/168331,Volkert,AutoPyTorch_refactor,3600s8c32G,5,0.5817180000000001,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T21:27:01,3682.8,0,2288609992,,0.5817180000000001
173,openml.org/t/168331,Volkert,AutoPyTorch_refactor,3600s8c32G,6,0.525467,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T21:30:56,3670.2,0,3364440610,,0.525467
174,openml.org/t/XX,Volkert,AutoPyTorch_refactor,3600s8c32G,7,0.5323272165999999,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.5323272165999999
175,openml.org/t/XX,Volkert,AutoPyTorch_refactor,3600s8c32G,8,0.5040301835000001,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.5040301835000001
176,openml.org/t/168331,Volkert,AutoPyTorch_refactor,3600s8c32G,9,0.58189,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T21:34:27,3669.2,0,2811473190,,0.58189
18,openml.org/t/10101,blood-transfusion,AutoPyTorch_refactor,3600s8c32G,8,0.783784,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T17:15:59,3662.3,0,32008120,,0.783784
18,openml.org/t/34539,Amazon_employee_access,AutoPyTorch_refactor,3600s8c32G,8,0.948428,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T18:23:40,3668.5,0,540648546,,0.948428
19,openml.org/t/10101,blood-transfusion,AutoPyTorch_refactor,3600s8c32G,9,0.797297,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T17:15:19,3619.3,0,1418403387,,0.797297
19,openml.org/t/XX,Amazon_employee_access,AutoPyTorch_refactor,3600s8c32G,9,0.9490231990000001,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9490231990000001
2,openml.org/t/146818,Australian,AutoPyTorch_refactor,3600s8c32G,2,0.8115939999999999,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T17:15:15,3664.4,0,1342713337,,0.8115939999999999
2,openml.org/t/XX,adult,AutoPyTorch_refactor,3600s8c32G,2,0.8685503686,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.8685503686
20,openml.org/t/XX,APSFailure,AutoPyTorch_refactor,3600s8c32G,0,0.9931578947,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9931578947
20,openml.org/t/XX,car,AutoPyTorch_refactor,3600s8c32G,0,0.9942196531999999,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9942196531999999
21,openml.org/t/146821,car,AutoPyTorch_refactor,3600s8c32G,1,1.0,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T17:16:15,3665.6,0,1456730272,,1.0
21,openml.org/t/XX,APSFailure,AutoPyTorch_refactor,3600s8c32G,1,0.9921052631999999,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9921052631999999
22,openml.org/t/146821,car,AutoPyTorch_refactor,3600s8c32G,2,1.0,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T17:16:19,3664.6,0,4116173001,,1.0
22,openml.org/t/XX,APSFailure,AutoPyTorch_refactor,3600s8c32G,2,0.9932894737000001,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9932894737000001
23,openml.org/t/146821,car,AutoPyTorch_refactor,3600s8c32G,3,0.9942200000000001,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T17:16:21,3662.4,0,1970237140,,0.9942200000000001
23,openml.org/t/XX,APSFailure,AutoPyTorch_refactor,3600s8c32G,3,0.9944736842,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9944736842
24,openml.org/t/146821,car,AutoPyTorch_refactor,3600s8c32G,4,1.0,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T17:19:37,3853.2,0,1461696298,,1.0
24,openml.org/t/XX,APSFailure,AutoPyTorch_refactor,3600s8c32G,4,0.9943421053,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9943421053
25,openml.org/t/146821,car,AutoPyTorch_refactor,3600s8c32G,5,0.9942200000000001,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T17:16:47,3684.6,0,618747087,,0.9942200000000001
25,openml.org/t/XX,APSFailure,AutoPyTorch_refactor,3600s8c32G,5,0.9928947368000001,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9928947368000001
26,openml.org/t/146821,car,AutoPyTorch_refactor,3600s8c32G,6,0.9826590000000001,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T17:15:40,3622.2,0,3235083921,,0.9826590000000001
26,openml.org/t/XX,APSFailure,AutoPyTorch_refactor,3600s8c32G,6,0.9942105263,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9942105263
27,openml.org/t/XX,APSFailure,AutoPyTorch_refactor,3600s8c32G,7,0.9944736842,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9944736842
27,openml.org/t/XX,car,AutoPyTorch_refactor,3600s8c32G,7,0.9942196531999999,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9942196531999999
28,openml.org/t/XX,APSFailure,AutoPyTorch_refactor,3600s8c32G,8,0.9919736842,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9919736842
28,openml.org/t/XX,car,AutoPyTorch_refactor,3600s8c32G,8,1.0,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,1.0
29,openml.org/t/146821,car,AutoPyTorch_refactor,3600s8c32G,9,1.0,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T17:16:43,3667.6,0,2394467052,,1.0
29,openml.org/t/168868,APSFailure,AutoPyTorch_refactor,3600s8c32G,9,0.994079,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T19:08:32,3668.2,0,1264538219,,0.994079
3,openml.org/t/146818,Australian,AutoPyTorch_refactor,3600s8c32G,3,0.8695649999999999,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T17:15:22,3667.6,0,1988195381,,0.8695649999999999
