,index,constraint,fold,model,overfit,task,test,tool,train,val,seed
1304,404,3600s8c32G,4,best_ensemble_model,,Albert,0.689399,autosklearn_constantlier,,,2
1305,405,3600s8c32G,0,best_ensemble_model,,Australian,0.8858229999999999,autosklearn_constantlier,,,2
1306,406,3600s8c32G,1,best_ensemble_model,,Australian,0.8476229999999999,autosklearn_constantlier,,,2
1307,407,3600s8c32G,2,best_ensemble_model,,Australian,0.84635,autosklearn_constantlier,,,2
1308,408,3600s8c32G,3,best_ensemble_model,,Australian,0.833192,autosklearn_constantlier,,,2
1309,409,3600s8c32G,4,best_ensemble_model,,Australian,0.8989809999999999,autosklearn_constantlier,,,2
1310,410,3600s8c32G,0,best_ensemble_model,,MiniBooNE,0.938116,autosklearn_constantlier,,,2
1311,411,3600s8c32G,1,best_ensemble_model,,MiniBooNE,0.943287,autosklearn_constantlier,,,2
1312,412,3600s8c32G,2,best_ensemble_model,,MiniBooNE,0.939092,autosklearn_constantlier,,,2
1313,413,3600s8c32G,3,best_ensemble_model,,MiniBooNE,0.946948,autosklearn_constantlier,,,2
1314,414,3600s8c32G,4,best_ensemble_model,,MiniBooNE,0.941966,autosklearn_constantlier,,,2
1315,415,3600s8c32G,0,best_ensemble_model,,adult,0.846576,autosklearn_constantlier,,,2
1316,416,3600s8c32G,1,best_ensemble_model,,adult,0.8384209999999999,autosklearn_constantlier,,,2
1317,417,3600s8c32G,2,best_ensemble_model,,adult,0.8521690000000001,autosklearn_constantlier,,,2
1318,418,3600s8c32G,3,best_ensemble_model,,adult,0.84198,autosklearn_constantlier,,,2
1319,419,3600s8c32G,4,best_ensemble_model,,adult,0.834568,autosklearn_constantlier,,,2
1320,420,3600s8c32G,0,best_ensemble_model,,cnae-9,0.962963,autosklearn_constantlier,,,2
1321,421,3600s8c32G,1,best_ensemble_model,,cnae-9,0.935185,autosklearn_constantlier,,,2
1322,422,3600s8c32G,2,best_ensemble_model,,cnae-9,0.962963,autosklearn_constantlier,,,2
1323,423,3600s8c32G,3,best_ensemble_model,,cnae-9,0.935185,autosklearn_constantlier,,,2
1324,424,3600s8c32G,4,best_ensemble_model,,cnae-9,0.972222,autosklearn_constantlier,,,2
1325,425,3600s8c32G,0,best_ensemble_model,,connect-4,0.7605109999999999,autosklearn_constantlier,,,2
1326,426,3600s8c32G,1,best_ensemble_model,,connect-4,0.754668,autosklearn_constantlier,,,2
1327,427,3600s8c32G,2,best_ensemble_model,,connect-4,0.782976,autosklearn_constantlier,,,2
1328,428,3600s8c32G,3,best_ensemble_model,,connect-4,0.765904,autosklearn_constantlier,,,2
1329,429,3600s8c32G,4,best_ensemble_model,,connect-4,0.75803,autosklearn_constantlier,,,2
1330,430,3600s8c32G,0,best_ensemble_model,,higgs,0.7363460000000001,autosklearn_constantlier,,,2
1331,431,3600s8c32G,1,best_ensemble_model,,higgs,0.723246,autosklearn_constantlier,,,2
1332,432,3600s8c32G,2,best_ensemble_model,,higgs,0.728537,autosklearn_constantlier,,,2
1333,433,3600s8c32G,3,best_ensemble_model,,higgs,0.731637,autosklearn_constantlier,,,2
1334,434,3600s8c32G,4,best_ensemble_model,,higgs,0.7347239999999999,autosklearn_constantlier,,,2
1335,435,3600s8c32G,0,best_ensemble_model,,kr-vs-kp,0.993738,autosklearn_constantlier,,,2
1336,436,3600s8c32G,1,best_ensemble_model,,kr-vs-kp,0.988024,autosklearn_constantlier,,,2
1337,437,3600s8c32G,2,best_ensemble_model,,kr-vs-kp,0.996732,autosklearn_constantlier,,,2
1338,438,3600s8c32G,3,best_ensemble_model,,kr-vs-kp,1.0,autosklearn_constantlier,,,2
1339,439,3600s8c32G,4,best_ensemble_model,,kr-vs-kp,1.0,autosklearn_constantlier,,,2
1340,440,3600s8c32G,0,best_ensemble_model,,segment,0.991342,autosklearn_constantlier,,,2
1341,441,3600s8c32G,1,best_ensemble_model,,segment,0.982684,autosklearn_constantlier,,,2
