,task,fold,framework,seed,search_improvement_opt,search_improvement_test,intensify_improvement_opt,intensify_improvement_test
47,MiniBooNE,3,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,-0.0028371277417472696,-0.0035125559796267414,0.018420948800682724,0.01234366644100179
48,connect-4,2,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,-0.00025284210266524054,0.00783626535409715,0.09010547020472898,0.1061288548271208
49,connect-4,4,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,0,-0.07956769118483903,-0.08226027208219705,0.07552607528327743,0.07696651634664003
50,cnae-9,4,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,0.1528063754697199,0.2585804854169493,0.14854456480487066,0.1138407128220805
51,MiniBooNE,4,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,-0.0029243609369914367,-0.002849398862624364,0.014272581933243773,0.012121211278073122
52,higgs,3,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,-0.019714686244672597,-0.01930622221083078,0.04856725560429982,0.04811997716129677
53,Australian,4,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,0.005072463768115987,0.024617996604414327,0.001086581450475584,-0.005548144554935701
54,connect-4,3,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,-0.019701834204148005,-0.019072213559856777,0.10565663060753527,0.11748074784199691
55,higgs,0,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,0.00033096132646012744,0.0008536554720731671,0.03813933104667356,0.04038718527911509
56,Albert,2,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,-0.00022049656020090014,-0.0032649675214587726,0.023353133042725446,0.022043897302266316
57,cnae-9,1,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,0.18776385906710713,0.1404701766417173,-0.14253838834337176,-0.2858574149877578
58,vehicle,0,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,0.10506848837607069,0.14294830018107085,0.07472835566595531,0.1020055798986272
