,hue,performance,model,dataset_name,stack
85,test_performance_singlemodelTrue,0.691167290886392,HistGradientBoostingClassifier,31,35
86,test_performance_singlemodelTrue,0.6786048689138576,HistGradientBoostingClassifier,31,36
87,test_performance_singlemodelTrue,0.6857053682896379,HistGradientBoostingClassifier,31,37
88,test_performance_singlemodelTrue,0.6786048689138576,HistGradientBoostingClassifier,31,38
89,test_performance_singlemodelTrue,0.6981117353308365,HistGradientBoostingClassifier,31,39
90,test_performance_singlemodelTrue,0.6551186017478152,HistGradientBoostingClassifier,31,40
91,test_performance_singlemodelTrue,0.6827403245942572,HistGradientBoostingClassifier,31,41
92,test_performance_singlemodelTrue,0.696629213483146,HistGradientBoostingClassifier,31,42
93,test_performance_singlemodelTrue,0.682896379525593,HistGradientBoostingClassifier,31,43
94,test_performance_singlemodelTrue,0.693976279650437,HistGradientBoostingClassifier,31,44
95,test_performance_singlemodelTrue,0.688358302122347,HistGradientBoostingClassifier,31,45
96,test_performance_singlemodelTrue,0.6924937578027466,HistGradientBoostingClassifier,31,46
97,test_performance_singlemodelTrue,0.699438202247191,HistGradientBoostingClassifier,31,47
98,test_performance_singlemodelTrue,0.6951466916354556,HistGradientBoostingClassifier,31,48
99,test_performance_singlemodelTrue,0.6953027465667915,HistGradientBoostingClassifier,31,49
100,val_performance_singlemodelTrue,0.6732204073401895,HistGradientBoostingClassifier,31,0
101,val_performance_singlemodelTrue,0.6567604355716878,HistGradientBoostingClassifier,31,1
102,val_performance_singlemodelTrue,0.6644484775156281,HistGradientBoostingClassifier,31,2
103,val_performance_singlemodelTrue,0.6596339987900787,HistGradientBoostingClassifier,31,3
104,val_performance_singlemodelTrue,0.651139342609397,HistGradientBoostingClassifier,31,4
105,val_performance_singlemodelTrue,0.677732405726961,HistGradientBoostingClassifier,31,5
106,val_performance_singlemodelTrue,0.6551220004033071,HistGradientBoostingClassifier,31,6
107,val_performance_singlemodelTrue,0.6689604759023997,HistGradientBoostingClassifier,31,7
108,val_performance_singlemodelTrue,0.6891006251260334,HistGradientBoostingClassifier,31,8
109,val_performance_singlemodelTrue,0.6623815285339786,HistGradientBoostingClassifier,31,9
110,val_performance_singlemodelTrue,0.6799253881831014,HistGradientBoostingClassifier,31,10
