,hue,performance,model,dataset_name,level
67,test_performance_singlemodelTrue,0.693976279650437,RandomForestClassifier,31,8
68,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,8
69,test_performance_singlemodelTrue,0.7105181023720349,DecisionTreeClassifier,31,8
70,train_performance_singlemodelTrue,0.6896551724137931,LinearDiscriminantAnalysis,31,8
71,test_performance_singlemodelTrue,0.6882022471910112,LinearDiscriminantAnalysis,31,8
72,train_performance_singlemodelTrue,0.9978070175438596,HistGradientBoostingClassifier,31,9
73,test_performance_singlemodelTrue,0.7105181023720349,HistGradientBoostingClassifier,31,9
74,train_performance_singlemodelTrue,1.0,RandomForestClassifier,31,9
75,test_performance_singlemodelTrue,0.7050561797752809,RandomForestClassifier,31,9
76,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,9
77,test_performance_singlemodelTrue,0.6685393258426966,DecisionTreeClassifier,31,9
78,train_performance_singlemodelTrue,0.6896551724137931,LinearDiscriminantAnalysis,31,9
79,test_performance_singlemodelTrue,0.6882022471910112,LinearDiscriminantAnalysis,31,9
80,train_performance_singlemodelFalse,0.9978070175438596,HistGradientBoostingClassifier,31,0
81,test_performance_singlemodelFalse,0.6855493133583022,HistGradientBoostingClassifier,31,0
82,train_performance_singlemodelFalse,1.0,RandomForestClassifier,31,0
83,test_performance_singlemodelFalse,0.6814138576779026,RandomForestClassifier,31,0
84,train_performance_singlemodelFalse,1.0,DecisionTreeClassifier,31,0
85,test_performance_singlemodelFalse,0.6771223470661674,DecisionTreeClassifier,31,0
86,train_performance_singlemodelFalse,0.6995109901189756,LinearDiscriminantAnalysis,31,0
87,test_performance_singlemodelFalse,0.6882022471910112,LinearDiscriminantAnalysis,31,0
88,train_performance_singlemodelFalse,0.9978070175438596,HistGradientBoostingClassifier,31,1
89,test_performance_singlemodelFalse,0.6647159800249688,HistGradientBoostingClassifier,31,1
90,train_performance_singlemodelFalse,1.0,RandomForestClassifier,31,1
91,test_performance_singlemodelFalse,0.6951466916354556,RandomForestClassifier,31,1
92,train_performance_singlemodelFalse,1.0,DecisionTreeClassifier,31,1
93,test_performance_singlemodelFalse,0.6979556803995006,DecisionTreeClassifier,31,1
94,train_performance_singlemodelFalse,0.7028130671506352,LinearDiscriminantAnalysis,31,1
95,test_performance_singlemodelFalse,0.7063826466916354,LinearDiscriminantAnalysis,31,1
96,train_performance_singlemodelFalse,0.9978070175438596,HistGradientBoostingClassifier,31,2
97,test_performance_singlemodelFalse,0.699438202247191,HistGradientBoostingClassifier,31,2
98,train_performance_singlemodelFalse,1.0,RandomForestClassifier,31,2
99,test_performance_singlemodelFalse,0.6814138576779026,RandomForestClassifier,31,2
100,train_performance_singlemodelFalse,1.0,DecisionTreeClassifier,31,2
101,test_performance_singlemodelFalse,0.6645599250936329,DecisionTreeClassifier,31,2
102,train_performance_singlemodelFalse,0.7071990320629159,LinearDiscriminantAnalysis,31,2
103,test_performance_singlemodelFalse,0.6923377028714107,LinearDiscriminantAnalysis,31,2
104,train_performance_singlemodelFalse,0.9978070175438596,HistGradientBoostingClassifier,31,3
105,test_performance_singlemodelFalse,0.6981117353308365,HistGradientBoostingClassifier,31,3
106,train_performance_singlemodelFalse,1.0,RandomForestClassifier,31,3
107,test_performance_singlemodelFalse,0.6786048689138576,RandomForestClassifier,31,3
108,train_performance_singlemodelFalse,1.0,DecisionTreeClassifier,31,3
109,test_performance_singlemodelFalse,0.6463795255930087,DecisionTreeClassifier,31,3
110,train_performance_singlemodelFalse,0.6997882637628554,LinearDiscriminantAnalysis,31,3
111,test_performance_singlemodelFalse,0.702247191011236,LinearDiscriminantAnalysis,31,3
112,train_performance_singlemodelFalse,0.9978070175438596,HistGradientBoostingClassifier,31,4
113,test_performance_singlemodelFalse,0.6814138576779026,HistGradientBoostingClassifier,31,4
114,train_performance_singlemodelFalse,1.0,RandomForestClassifier,31,4
115,test_performance_singlemodelFalse,0.6716604244694132,RandomForestClassifier,31,4
116,train_performance_singlemodelFalse,1.0,DecisionTreeClassifier,31,4
117,test_performance_singlemodelFalse,0.6465355805243446,DecisionTreeClassifier,31,4
118,train_performance_singlemodelFalse,0.7014519056261344,LinearDiscriminantAnalysis,31,4
119,test_performance_singlemodelFalse,0.6812578027465668,LinearDiscriminantAnalysis,31,4
120,train_performance_singlemodelFalse,0.9978070175438596,HistGradientBoostingClassifier,31,5
121,test_performance_singlemodelFalse,0.6953027465667915,HistGradientBoostingClassifier,31,5
122,train_performance_singlemodelFalse,1.0,RandomForestClassifier,31,5
123,test_performance_singlemodelFalse,0.6660424469413233,RandomForestClassifier,31,5
124,train_performance_singlemodelFalse,1.0,DecisionTreeClassifier,31,5
125,test_performance_singlemodelFalse,0.6632334581772784,DecisionTreeClassifier,31,5
126,train_performance_singlemodelFalse,0.7050060496067756,LinearDiscriminantAnalysis,31,5
127,test_performance_singlemodelFalse,0.6896847690387016,LinearDiscriminantAnalysis,31,5
128,train_performance_singlemodelFalse,0.9978070175438596,HistGradientBoostingClassifier,31,6
129,test_performance_singlemodelFalse,0.6757958801498127,HistGradientBoostingClassifier,31,6
130,train_performance_singlemodelFalse,1.0,RandomForestClassifier,31,6
131,test_performance_singlemodelFalse,0.6647159800249688,RandomForestClassifier,31,6
132,train_performance_singlemodelFalse,1.0,DecisionTreeClassifier,31,6
133,test_performance_singlemodelFalse,0.6506710362047441,DecisionTreeClassifier,31,6
134,train_performance_singlemodelFalse,0.6996622302883646,LinearDiscriminantAnalysis,31,6
135,test_performance_singlemodelFalse,0.7091916354556804,LinearDiscriminantAnalysis,31,6
136,train_performance_singlemodelFalse,0.9978070175438596,HistGradientBoostingClassifier,31,7
137,test_performance_singlemodelFalse,0.70770911360799,HistGradientBoostingClassifier,31,7
138,train_performance_singlemodelFalse,1.0,RandomForestClassifier,31,7
139,test_performance_singlemodelFalse,0.6660424469413233,RandomForestClassifier,31,7
140,train_performance_singlemodelFalse,1.0,DecisionTreeClassifier,31,7
141,test_performance_singlemodelFalse,0.6645599250936329,DecisionTreeClassifier,31,7
142,train_performance_singlemodelFalse,0.6881427707199033,LinearDiscriminantAnalysis,31,7
143,test_performance_singlemodelFalse,0.6979556803995006,LinearDiscriminantAnalysis,31,7
144,train_performance_singlemodelFalse,0.9978070175438596,HistGradientBoostingClassifier,31,8
145,test_performance_singlemodelFalse,0.6688514357053683,HistGradientBoostingClassifier,31,8
146,train_performance_singlemodelFalse,1.0,RandomForestClassifier,31,8
147,test_performance_singlemodelFalse,0.6772784019975031,RandomForestClassifier,31,8
148,train_performance_singlemodelFalse,1.0,DecisionTreeClassifier,31,8
149,test_performance_singlemodelFalse,0.6533239700374531,DecisionTreeClassifier,31,8
150,train_performance_singlemodelFalse,0.6940411373260738,LinearDiscriminantAnalysis,31,8
151,test_performance_singlemodelFalse,0.6924937578027466,LinearDiscriminantAnalysis,31,8
152,train_performance_singlemodelFalse,0.9978070175438596,HistGradientBoostingClassifier,31,9
153,test_performance_singlemodelFalse,0.699438202247191,HistGradientBoostingClassifier,31,9
154,train_performance_singlemodelFalse,1.0,RandomForestClassifier,31,9
155,test_performance_singlemodelFalse,0.6840667915106118,RandomForestClassifier,31,9
156,train_performance_singlemodelFalse,1.0,DecisionTreeClassifier,31,9
157,test_performance_singlemodelFalse,0.6270287141073658,DecisionTreeClassifier,31,9
158,train_performance_singlemodelFalse,0.701703972575116,LinearDiscriminantAnalysis,31,9
159,test_performance_singlemodelFalse,0.6799313358302121,LinearDiscriminantAnalysis,31,9
